plot,plant,line_raw_slope (N/m),height(cm),Ratio,Brnum,Color
1315,4,79.44423783,187,0.67646099,2,blue
1315,5,43.7686935,92,0.769822947,1,blue
1315,6,122.2494235,202,0.677700025,2,blue
1315,7,70.20183163,191,0.715464997,1,blue
1315,8,171.7567465,196,0.683349238,2,blue
1316,1,116.4065516,185,0.373282475,3,blue
1316,2,88.40772456,187,0.82207479,2,blue
1316,3,89.91418276,179,0.127844692,2,blue
1316,4,57.94138366,203,0.699103661,2,blue
1316,5,68.33117428,209,0.61838319,2,blue
1316,6,63.71006249,178,0.861039694,3,blue
1316,8,35.05474362,178,0.497023026,1,blue
1316,9,101.5722525,186,0.655066207,2,blue
1316,10,59.20616711,171,0.512539975,2,blue
1316,11,87.7868622,187,0.728123455,2,blue
1316,12,103.7824987,187,0.625258796,2,blue
1316,13,50.16480267,166,0.018821565,2,blue
