PLOT_ID,Plant_Number,AorB,plantid,stalk_width,leftmost_single_root_width,num_whorls,w1,w2,w3,w4,root_heightonstalk_left,stalk_to_leftmost_rootgrounding,root_angledeg_left,root_heightonstalk_right,stalk_to_rightmost_rootgrounding,root_angledeg_right,spread_width
1259,1,A,1259_01A,1.016089335,0.202991702,2,7,10,0,0,2.319857649,1.721184707,36.57303098,2.02883608,1.496682354,36.41637852,4.233956397
1259,1,B,1259_01B,1.04116731,0.234096757,2,8,9,0,0,2.513711152,1.701198456,34.08887162,2.513711152,2.234409913,41.63353934,4.976775679
1259,2,A,1259_02A,0.971842857,0.242442857,2,6,8,0,0,2.242857143,1.857142857,39.62562263,2.271428571,1.671428571,36.34745821,4.500414286
1259,2,B,1259_02B,0.98465625,0.230703125,2,7,8,0,0,2.59375,1.8046875,34.82954526,2.421875,1.3984375,30.00296865,4.18778125
1259,3,A,1259_03A,1.096318016,0.234108825,2,7,9,0,0,2.605268218,1.951547779,36.8360549,2.557200538,1.778504134,34.81817766,4.826369929
1259,3,B,1259_03B,1.020325397,0.158730159,2,8,10,0,0,2.658730159,2.373015873,41.7501017,2.611111111,2.119047619,39.06106222,5.512388889
1259,4,A,1259_04A,0.841528302,0.157009434,2,7,7,0,0,1.745283019,1.462264151,39.95754893,1.613207547,1.160377359,35.72739822,3.464169811
1259,4,B,1259_04B,0.778284711,0.141719859,2,7,8,0,0,1.31374145,1.120964172,40.47282899,1.249482357,1.106684374,41.53177074,3.005933256
1259,5,A,1259_05A,1.047216981,0.191018868,2,9,7,0,0,2.981132076,1.820754717,31.41489508,2.849056604,1.566037736,28.79622579,4.434009434
1259,5,B,1259_05B,1.025404946,0.150904879,3,3,8,2,0,3.51619784,1.733102253,26.23827271,3.266231169,1.808092254,28.96766065,4.566599453
1259,6,A,1259_06A,1.122424827,0.19246077,2,3,10,0,0,2.086438152,2.323134917,48.07257022,2.068905058,1.937406855,43.12006946,5.3829666
1259,6,B,1259_06B,1.118650962,0.196549748,2,4,10,0,0,2.394467763,2.246546974,43.17445769,2.17258658,1.719579165,38.36123993,5.084777102
1259,7,A,1259_07A,0.908806603,0.177426927,2,7,7,0,0,1.809783432,1.211570498,33.80057034,1.84764501,1.340299864,35.95750052,3.460676965
1259,7,B,1259_07B,0.945181269,0.209877207,2,9,5,0,0,2.143878037,1.72124975,38.75984443,1.967142572,1.398515422,35.41044829,4.064946442
1259,8,A,1259_08A,1.260715807,0.222953582,2,3,8,0,0,1.795996964,2.082986169,49.23135781,1.712677517,1.573811772,42.58049078,4.917513748
1259,8,B,1259_08B,1.267042616,0.177109358,3,4,10,1,0,1.847026911,2.266400171,50.82132137,1.695338711,2.49839389,55.84030545,6.031836676
1259,9,A,1259_09A,1.132270117,0.176774277,2,7,13,0,0,2.466318192,2.125819039,40.75937579,2.346683354,1.674887727,35.51641776,4.932976883
1259,9,B,1259_09B,1.024750852,0.159126672,2,8,10,0,0,2.737345922,1.827629163,33.72963643,2.655389457,2.343954891,41.43536103,5.196334907
1259,10,A,1259_10A,0.99877363,0.152980956,2,8,6,0,0,2.189947266,1.620560977,36.50144112,2.076070008,1.585521821,37.36944577,4.204856427
1259,10,B,1259_10B,0.992695906,0.20406555,2,7,12,0,0,2.28782538,1.770946312,37.74252511,2.12683026,1.601477766,36.9793102,4.365119984
1259,11,A,1259_11A,0.810062422,0.182721598,2,6,9,0,0,1.914273824,1.140241365,30.78023448,1.78110695,1.206824802,34.12039254,3.157128589
1259,11,B,1259_11B,0.794780555,0.139881134,2,5,8,0,0,1.8668089,1.165803109,31.98435723,1.882048156,1.135324596,31.10001259,3.09590826
1259,12,A,1259_12A,1.066360656,0.151139344,2,7,11,0,0,2.204918033,1.590163934,35.79875034,2.016393443,1.590163934,38.2599439,4.246688525
1259,12,B,1259_12B,1.013459123,0.184167333,2,7,9,0,0,2.062400091,1.462948162,35.34970019,1.962491436,1.627083809,39.66181854,4.103491094
1260,1,A,1260_01A,0.943470662,0.163945069,2,5,11,0,0,1.706200583,3.104452767,61.20689924,1.439866833,1.714523512,49.97626421,5.762446941
1260,1,B,1260_01B,0.978798624,0.182658825,2,5,3,0,0,1.645574996,2.208255478,53.30680428,1.560642093,2.102089349,53.40891173,5.289143452
1260,2,A,1260_02A,0.961781995,0.233481693,2,4,7,0,0,1.822304333,2.578098757,54.74578696,1.679543164,2.519314746,56.30993247,6.059195499
1260,2,B,1260_02B,0.869661929,0.182714897,2,3,5,0,0,1.882799873,2.216038789,49.64797069,1.507906093,2.599263542,59.88077059,5.68496426
1260,3,A,1260_03A,0.883491667,0.1618,2,1,9,0,0,1.133333333,2.808333333,68.02292695,0.958333333,1.358333333,54.79620992,5.050158333
1260,3,B,1260_03B,0.731066722,0.158509019,1,8,0,0,0,0.938014178,1.268625732,53.52100317,0.784241362,1.545416801,63.09390654,3.545109256
1260,4,A,1260_04A,0.782157141,0.203514063,2,3,9,0,0,1.241775255,1.556250806,51.41267214,1.024061411,1.322410012,52.24614889,3.660817959
1260,4,B,1260_04B,0.762696073,0.176245892,2,3,7,0,0,1.346681573,1.888742081,54.51096038,1.18575736,1.304333096,47.72631099,3.955771251
1260,5,A,1260_05A,0.775072796,0.161968158,2,3,8,0,0,1.021309884,2.028133104,63.27148057,0.956119892,1.680453143,60.36161631,4.483659042
1260,5,B,1260_05B,0.886902097,0.189598471,2,1,8,0,0,1.282757671,2.143668859,59.10396894,1.127793657,2.169496195,62.53272766,5.200067151
1260,6,A,1260_06A,0.836343648,0.178599349,2,7,5,0,0,1.701954397,2.540716612,56.18298487,1.67752443,2.288273616,53.75500284,5.665333876
1260,6,B,1260_06B,0.912779446,0.219251126,2,6,6,0,0,1.925507544,2.350106644,50.67128664,1.955130737,1.945256339,44.8549477,5.208142428
1260,7,A,1260_07A,0.890166667,0.147626984,2,2,3,0,0,0.849206349,2.087301587,67.86133998,0.928571429,1.714285714,61.55707138,4.691753968
1260,7,B,1260_07B,0.909021393,0.173041976,2,4,7,0,0,1.115529247,2.060130625,61.56513212,1.259468504,1.77225211,54.60011843,4.741404128
1260,8,A,1260_08A,0.754022653,0.200379597,2,8,1,0,0,0.476417342,1.329358066,70.28325966,0.391891684,1.221779957,72.21611156,3.305160676
1260,8,B,1260_08B,0.841772596,0.213298852,1,5,0,0,0,0.561058999,1.805908653,72.74104571,0.482160077,1.683176997,74.01519848,4.330858245
1260,9,A,1260_09A,0.773340832,0.171853518,1,8,0,0,0,0.257780278,1.179540058,77.67222929,0.24215723,0.929571304,75.39872771,2.882452194
1260,9,B,1260_09B,0.803655738,0.168778689,1,7,0,0,0,0.393442623,0.942622951,67.34476729,0.352459016,1.180327869,73.3737905,2.926606557
1260,10,A,1260_10A,0.956538007,0.207872549,1,6,0,0,0,0.46563451,1.430163138,71.96571443,0.515523922,1.180716079,66.41296947,3.567417225
1260,10,B,1260_10B,0.982330164,0.167599847,2,6,3,0,0,1.299787308,4.544710866,74.03947051,1.163445982,1.736079551,56.17170408,7.26312058
1260,11,A,1260_11A,0.857161253,0.156162889,2,5,7,0,0,1.15895043,2.257302145,62.82300115,1.105926554,1.924009211,60.10957512,5.038472609
1260,11,B,1260_11B,0.949176383,0.168189059,1,5,0,0,0,1.669265184,2.008202278,50.26584031,1.533690347,2.330192516,56.64781437,5.287571177
1260,12,A,1260_12A,0.975355221,0.196566888,2,7,5,0,0,1.274299136,2.265420685,60.64224646,1.149367848,2.207119418,62.49154071,5.447895324
1260,12,B,1260_12B,0.908033567,0.15732607,2,4,1,0,0,0.907886342,2.331059528,68.72039557,1.063290311,2.306522059,65.25063351,5.545615154
1261,1,A,1261_01A,0.819564539,0.138286249,1,5,0,0,0,0.561885438,1.037927267,61.57095117,0.593101296,1.030123303,60.06848816,2.887615109
1261,1,B,1261_01B,0.84358209,0.170335821,1,7,0,0,0,0.776119403,1.253731343,58.24051992,0.723880597,1.067164179,55.85010463,3.164477612
1261,2,A,1261_02A,0.728804401,0.136252743,2,5,1,0,0,0.573075286,1.342633527,66.88579202,0.630382814,1.260765629,63.43494882,3.332203556
1261,2,B,1261_02B,0.589730277,0.182312899,2,6,3,0,0,1.30118196,1.384508884,46.77710327,1.371689357,1.474245571,47.06381973,3.448484732
1261,3,A,1261_03A,0.669105939,0.162914592,2,6,2,0,0,1.431378528,1.490666396,46.16236357,1.380560355,1.439848223,46.20423843,3.599620558
1261,3,B,1261_03B,0.705618192,0.124946714,2,6,3,0,0,1.646356701,1.550809214,43.28822182,1.609607667,1.256816946,37.98349826,3.513244352
