Plot,Genotype,Experiment,Total Plants,Number Lodged,Percent Lodging,Lodging Index,Lodged
213,6M502,55 and friends,16,0,0,0,N
213,6M502,55 and friends,16,0,0,0,N
213,6M502,55 and friends,16,0,0,0,N
213,6M502,55 and friends,16,0,0,0,N
213,6M502,55 and friends,16,0,0,0,N
213,6M502,55 and friends,16,0,0,0,N
30,A632,55 and friends,9,0,0,0,N
30,A632,55 and friends,9,0,0,0,N
30,A632,55 and friends,9,0,0,0,N
30,A632,55 and friends,9,0,0,0,N
30,A632,55 and friends,9,0,0,0,N
30,A632,55 and friends,9,0,0,0,N
30,A632,55 and friends,9,0,0,0,N
30,A632,55 and friends,9,0,0,0,N
30,A632,55 and friends,9,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
69,A632,55 and friends,13,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
45,B104,55 and friends,17,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
212,B104,55 and friends,18,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
28,B73,55 and friends,16,0,0,0,N
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0.5,Y
107,B73,55 and friends,18,11,61.11111111,0,N
107,B73,55 and friends,18,11,61.11111111,0,N
107,B73,55 and friends,18,11,61.11111111,0,N
107,B73,55 and friends,18,11,61.11111111,0,N
107,B73,55 and friends,18,11,61.11111111,0,N
107,B73,55 and friends,18,11,61.11111111,0,N
107,B73,55 and friends,18,11,61.11111111,0,N
53,B95,55 and friends,7,1,14.28571429,2,Y
53,B95,55 and friends,7,1,14.28571429,0,N
53,B95,55 and friends,7,1,14.28571429,0,N
53,B95,55 and friends,7,1,14.28571429,0,N
53,B95,55 and friends,7,1,14.28571429,0,N
53,B95,55 and friends,7,1,14.28571429,0,N
53,B95,55 and friends,7,1,14.28571429,0,N
197,B95,55 and friends,11,3,27.27272727,1,Y
197,B95,55 and friends,11,3,27.27272727,1,Y
197,B95,55 and friends,11,3,27.27272727,1,Y
197,B95,55 and friends,11,3,27.27272727,0,N
197,B95,55 and friends,11,3,27.27272727,0,N
197,B95,55 and friends,11,3,27.27272727,0,N
197,B95,55 and friends,11,3,27.27272727,0,N
197,B95,55 and friends,11,3,27.27272727,0,N
197,B95,55 and friends,11,3,27.27272727,0,N
197,B95,55 and friends,11,3,27.27272727,0,N
197,B95,55 and friends,11,3,27.27272727,0,N
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,1,Y
42,B97,55 and friends,11,10,90.90909091,0,N
135,B97,55 and friends,8,1,12.5,4,Y
135,B97,55 and friends,8,1,12.5,0,N
135,B97,55 and friends,8,1,12.5,0,N
135,B97,55 and friends,8,1,12.5,0,N
135,B97,55 and friends,8,1,12.5,0,N
135,B97,55 and friends,8,1,12.5,0,N
135,B97,55 and friends,8,1,12.5,0,N
135,B97,55 and friends,8,1,12.5,0,N
27,BS30,55 and friends,5,0,0,0,N
27,BS30,55 and friends,5,0,0,0,N
27,BS30,55 and friends,5,0,0,0,N
27,BS30,55 and friends,5,0,0,0,N
27,BS30,55 and friends,5,0,0,0,N
218,BS30,55 and friends,12,4,33.33333333,2,Y
218,BS30,55 and friends,12,4,33.33333333,1,Y
218,BS30,55 and friends,12,4,33.33333333,1,Y
218,BS30,55 and friends,12,4,33.33333333,1,Y
218,BS30,55 and friends,12,4,33.33333333,0,N
218,BS30,55 and friends,12,4,33.33333333,0,N
218,BS30,55 and friends,12,4,33.33333333,0,N
218,BS30,55 and friends,12,4,33.33333333,0,N
218,BS30,55 and friends,12,4,33.33333333,0,N
218,BS30,55 and friends,12,4,33.33333333,0,N
218,BS30,55 and friends,12,4,33.33333333,0,N
218,BS30,55 and friends,12,4,33.33333333,0,N
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
44,CML10,55 and friends,14,14,100,2,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
51,CML10,55 and friends,15,15,100,1,Y
32,CML103,55 and friends,5,2,40,0.5,Y
32,CML103,55 and friends,5,2,40,0.5,Y
32,CML103,55 and friends,5,2,40,0,N
32,CML103,55 and friends,5,2,40,0,N
32,CML103,55 and friends,5,2,40,0,N
206,CML103,55 and friends,6,5,83.33333333,2,Y
206,CML103,55 and friends,6,5,83.33333333,2,Y
206,CML103,55 and friends,6,5,83.33333333,2,Y
206,CML103,55 and friends,6,5,83.33333333,2,Y
206,CML103,55 and friends,6,5,83.33333333,1,Y
206,CML103,55 and friends,6,5,83.33333333,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
60,CML228,55 and friends,17,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
64,CML228,55 and friends,16,0,0,0,N
49,CML247,55 and friends,12,4,33.33333333,3,Y
49,CML247,55 and friends,12,4,33.33333333,1,Y
49,CML247,55 and friends,12,4,33.33333333,1,Y
49,CML247,55 and friends,12,4,33.33333333,1,Y
49,CML247,55 and friends,12,4,33.33333333,0,N
49,CML247,55 and friends,12,4,33.33333333,0,N
49,CML247,55 and friends,12,4,33.33333333,0,N
49,CML247,55 and friends,12,4,33.33333333,0,N
49,CML247,55 and friends,12,4,33.33333333,0,N
49,CML247,55 and friends,12,4,33.33333333,0,N
49,CML247,55 and friends,12,4,33.33333333,0,N
49,CML247,55 and friends,12,4,33.33333333,0,N
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
222,CML247,55 and friends,12,12,100,2.5,Y
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
25,CML258,55 and friends,14,0,0,0,N
105,CML258,55 and friends,15,10,66.66666667,3,Y
105,CML258,55 and friends,15,10,66.66666667,3,Y
105,CML258,55 and friends,15,10,66.66666667,3,Y
105,CML258,55 and friends,15,10,66.66666667,3,Y
105,CML258,55 and friends,15,10,66.66666667,3,Y
105,CML258,55 and friends,15,10,66.66666667,3,Y
105,CML258,55 and friends,15,10,66.66666667,3,Y
105,CML258,55 and friends,15,10,66.66666667,3,Y
105,CML258,55 and friends,15,10,66.66666667,1,Y
105,CML258,55 and friends,15,10,66.66666667,1,Y
105,CML258,55 and friends,15,10,66.66666667,0,N
105,CML258,55 and friends,15,10,66.66666667,0,N
105,CML258,55 and friends,15,10,66.66666667,0,N
105,CML258,55 and friends,15,10,66.66666667,0,N
105,CML258,55 and friends,15,10,66.66666667,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
75,CML277,55 and friends,14,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
215,CML277,55 and friends,17,0,0,0,N
24,CML322,55 and friends,2,0,0,0,N
24,CML322,55 and friends,2,0,0,0,N
170,CML322,55 and friends,2,0,0,0,N
170,CML322,55 and friends,2,0,0,0,N
205,CML333,55 and friends,5,2,40,1,Y
205,CML333,55 and friends,5,2,40,1,Y
205,CML333,55 and friends,5,2,40,0,N
205,CML333,55 and friends,5,2,40,0,N
205,CML333,55 and friends,5,2,40,0,N
216,CML333,55 and friends,4,4,100,1,Y
216,CML333,55 and friends,4,4,100,1,Y
216,CML333,55 and friends,4,4,100,1,Y
216,CML333,55 and friends,4,4,100,1,Y
36,CML341,55 and friends,17,3,17.64705882,1,Y
36,CML341,55 and friends,17,3,17.64705882,1,Y
36,CML341,55 and friends,17,3,17.64705882,1,Y
36,CML341,55 and friends,17,3,17.64705882,0,N
