Year,ID,PLOT_ID,Plant_Number,Accession,Flexural.Rigidity..EI....IMU,Ratio..None.All....IMU,Brace.Root.Whorls.in.the.Soil,num_whorls,w1,w2,w3,root_angle,height.cm.,stalk_width.cm,spread_width.cm,single_root_width.cm,root_heightonstalk.cm,stalk_to_rootgrounding.cm
2019,1259_1,1259,1,CML258,27.34430303,0.46062131,3,2,15,19,0,37.177955115,263,2.61271593915,11.69762973652,0.55510234293,5.953833680955,4.54245689805
2019,1259_10,1259,10,CML258,30.56302651,0.28359003,3,2,15,18,0,37.14818055,273,2.52916631072,10.88387004197,0.45344906262,5.51222730039,4.17735186626
2019,1259_2,1259,2,CML258,26.73806882,0.34977005,3,2,13,16,0,35.2013986875,280,2.48475386589,11.03400833072,0.60089539714,6.05149330339,4.27462723178
2019,1259_3,1259,3,CML258,30.71336452,0.44909883,3,2,15,19,0,38.11634912,273,2.68813713451,13.13022369886,0.49890550968,6.62451686651,5.221043282175
2019,1259_4,1259,4,CML258,12.69193673,0.58688469,2,2,14,15,0,39.42238672,261.5,2.05716252651,8.21703089509,0.37938620211,3.760288626855,3.07993418556
2019,1259_5,1259,5,CML258,22.50115034,0.63926459,3,2.5,12,15,2,28.8542635575,273,2.63222984729,11.43077328649,0.43424315869,8.009012232515,4.3992717196
2019,1259_6,1259,6,CML258,31.50480653,0.32830192,3,2,7,20,0,43.182084325,283.5,2.84616625203,13.29403450154,0.49404335786,5.538722446155,5.223934123485
2019,1259_7,1259,7,CML258,34.01232321,0.41117597,3,2,16,12,0,35.982090895,274.5,2.35456459744,9.55754172689,0.49187625018,4.932965147385,3.60148856409
2019,1259_8,1259,8,CML258,31.92048154,0.71502122,3,2.5,7,18,1,49.6183688525,266,3.21025319721,13.90567503848,0.5080799338,4.477410465405,5.34771092127
2019,1259_9,1259,9,CML258,28.63935486,0.47309966,3,2,15,23,0,37.8601977525,263.5,2.73941663063,12.8642259733,0.42659420523,6.480642947375,5.0624046707
2019,1260_1,1260,1,PHR58,11.05450448,0.54293375,3,2,10,14,0,54.474719865,233.5,2.44128199322,14.03551979911,0.44018694538,4.033700660675,5.79711890231
2019,1260_10,1260,10,PHR58,7.693085066,0.83099579,2,1.5,12,3,0,67.1474646225,228.5,2.46236257717,13.75478301235,0.47684994292,2.18718874347,5.64621021759
2019,1260_11,1260,11,PHR58,13.21727925,0.44514806,2,1.5,10,7,0,57.4615577375,265,2.29404879772,13.11407560822,0.41192697396,3.472073647025,5.41001340525
2019,1260_12,1260,12,PHR58,9.570498292,0.51411229,2,2,11,6,0,64.2762040625,222.5,2.39190376076,13.96175830706,0.44944405666,2.790725709495,5.78492727315
2019,1260_3,1260,3,PHR58,8.937553002,0.02824387,2,1.5,9,9,0,59.858511645,248,2.05048915403,10.91598983803,0.40679245413,2.42184060081,4.432750341365
2019,1260_4,1260,4,PHR58,6.438808785,0.31411968,2,2,6,16,0,51.4740231,247,1.96196358178,9.6730682967,0.48229514285,3.046905005365,3.855552356825
2019,1260_5,1260,5,PHR58,12.34031171,0.67870885,1,2,4,16,0,61.31744837,259,2.11070811411,12.29833226511,0.44648961883,2.78636800104,5.093812076135
2019,1260_6,1260,6,PHR58,7.291930455,0.47811779,2,2,13,11,0,51.3660555125,230,2.22138632938,13.80931490608,0.50527010325,4.61017436358,5.793964288985
