Year,Accession,Plot.ID
2018,PHHB4,2307
2018,CML333,2308
2018,Tzi8,2309
2018,CML277,2310
2018,Oh43,2312
2018,CML322,2314
2018,CML277,2315
2018,LH211,2316
2018,A632,2318
2018,Tzi9,2319
2018,NC262,2320
2018,PHB47,2321
2018,Ki11,2322
2018,L163,2323
2018,Ms71,2326
2018,LH123Ht,2328
2018,Mo18W,2330
2018,CML69,2331
2018,CML10,2332
2018,PHT60,2333
2018,M162W,2335
2018,P39,2336
2018,CML52,2337
2018,GT112,2338
2018,Tx303,2339
2018,2369,2340
2018,CML341,2342
2018,CML103,2343
2018,R78,2344
2018,Shoe Peg,2345
2018,Oh7B,2346
2018,Hp301,2347
2018,M37W,2349
2018,CML247,2351
2018,B97,2352
2018,SA24,2354
2018,F118,2355
2018,R84,2356
2018,CML373,2358
2018,W64A,2359
2018,Mo17,2360
2018,CML258,2361
2018,Hickory King,2362
2018,Ki3,2365
2018,6M502,2366
2018,B73,2368
2018,B104,2369
2018,Tzi8,2370
2018,Ky21,2371
2018,CML228,2372
2018,LH252,2374
2018,NC350,2375
2018,PHK46,2376
2018,PHR58,2377
2018,Oh7B,2380
2018,R84,2382
2018,Ky21,2383
2018,A632,2384
2018,Hp301,2385
2018,L163,2386
2018,M37W,2388
2018,Oh43,2390
2018,Tx303,2394
2018,Mo17,2397
2018,LH211,2398
2018,LH252,2402
2018,Ki3,2403
2018,M162W,2404
2018,B104,2405
2018,NC350,2406
2018,Mo18W,2408
2018,PHT60,2409
2018,B97,2411
2018,R78,2412
2018,CML69,2413
2018,PHHB4,2414
2018,NC262,2415
2018,SA24,2416
2018,Hickory King,2417
2018,GT112,2422
2018,CML373,2423
2018,6M502,2428
2018,Ki11,2429
2018,CML322,2431
2018,CML341,2432
2018,PHB47,2434
2018,CML333,2436
2018,Shoe Peg,2437
2018,CML103,2439
2018,CML258,2440
2018,CML10,2441
2018,Ms71,2442
2018,PHK46,2443
2018,CML247,2444
2018,CML52,2445
2018,Tzi8,2446
2018,B73,2447
2018,Tzi8,2448
2018,PHR58,2449
2019,CML258,1259
2019,PHR58,1260
2019,LH252,1261
2019,B104,1262
2019,M162W,1263
2019,CML277,1264
2019,Tx303,1265
2019,CML228,1266
2019,Oh43,1267
2019,Mo17,1268
2019,CML322,1269
2019,Tzi8,1270
2019,CML103,1271
2019,W64A,1273
2019,LH123Ht,1276
2019,PHK46,1277
2019,Hp301,1278
2019,NC350,1279
2019,R84,1280
2019,A632,1282
2019,Ms71,1283
2019,LH211,1284
2019,SA24,1285
2019,Ky21,1286
2019,2369,1287
2019,W64A,1288
2019,Ki3,1289
2019,CML373,1290
2019,6M502,1293
2019,Mo18W,1294
2019,PHB47,1296
2019,CML277,1297
2019,Shoe Peg,1298
2019,CML10,1300
2019,PHHB4,1301
2019,B97,1302
2019,Ky21,1303
2019,M37W,1304
2019,L163,1305
2019,CML69,1307
2019,CML341,1308
2019,F118,1309
2019,Ki11,1310
2019,B73,1311
2019,Tzi9,1312
2019,Hickory King,1314
2019,CML247,1315
2019,R78,1316
2019,Oh43,1317
2019,NC262,1318
2019,CML333,1319
2019,A632,1321
2019,Hp301,1322
2019,GT112,1323
2019,GT112,1326
2019,Hickory King,1327
2019,PHT60,1328
2019,Oh7B,1329
2019,Tzi8,1330
2019,CML52,1331
2019,F118,1333
2019,PHR58,1334
2019,R78,1335
2019,SA24,1336
2019,Shoe Peg,1337
2019,6M502,1338
2019,LH252,1339
2019,Ky21,1340
2019,CML373,1341
2019,CML333,1342
2019,Ki11,1344
2019,Hp301,1345
2019,Oh7B,1346
2019,PHB47,1347
2019,M162W,1348
2019,W64A,1349
2019,Hickory King,1350
2019,PHHB4,1351
2019,Tzi8,1352
2019,CML52,1353
2019,GT112,1354
2019,Tzi9,1355
2019,CML103,1356
2019,L163,1357
2019,W64A,1358
2019,CML69,1359
2019,Mo18W,1362
2019,LH252,1364
2019,Hickory King,1367
2019,CML341,1368
2019,R84,1369
2019,M37W,1370
2019,Ky21,1371
2019,PHK46,1372
2019,B97,1373
2019,CML10,1374
2019,Ki3,1375
2019,CML228,1376
2019,B104,1379
2019,CML247,1380
2019,PHT60,1381
2019,CML258,1383
2019,Tzi8,1384
2019,P39,1385
2019,CML277,1386
2019,2369,1389
2019,CML277,1390
2019,B73,1391
2019,A632,1392
2019,Hp301,1393
2019,GT112,1394
2019,A632,1395
2019,Mo17,1396
2019,Tx303,1397
2019,Ms71,1398
2019,Oh43,1399
2019,NC350,1400
2019,LH211,1401
2019,Oh43,1402
2019,LH123Ht,1403
2019,NC262,1404
