Model,ModelNumber,Variable,Importance 
Paired,Model1,w3,0.107462
Paired,Model1,brace_root_whorls_in_the_soil,0.991621
Paired,Model1,num_whorls,1.468649
Paired,Model1,w2,4.039033
Paired,Model1,stalk_to_rootgrounding_cm,8.018326
Paired,Model1,w1,8.864173
Paired,Model1,root_angle,8.923044
Paired,Model1,single_root_width_cm,8.979317
Paired,Model1,spread_width_cm,13.014985
Paired,Model1,root_heightonstalk_cm,16.58381
Paired,Model1,height_cm,25.695737
Paired,Model1,stalk_width_cm,54.44085
Not-paired,Model10,w3,1.259983
Not-paired,Model10,num_whorls,9.321185
Not-paired,Model10,brace_root_whorls_in_the_soil,17.582589
Not-paired,Model10,w2,19.221689
Not-paired,Model10,w1,30.748299
Not-paired,Model10,stalk_to_rootgrounding_cm,33.03234
Not-paired,Model10,spread_width_cm,33.334026
Not-paired,Model10,root_angle,39.282347
Not-paired,Model10,root_heightonstalk_cm,49.887987
Not-paired,Model10,stalk_width_cm,50.547578
Not-paired,Model10,single_root_width_cm,54.846598
Not-paired,Model11,w3,1.177823
Not-paired,Model11,num_whorls,1.627126
Not-paired,Model11,w2,5.406814
Not-paired,Model11,spread_width_cm,5.61673
Not-paired,Model11,stalk_to_rootgrounding_cm,8.069111
Not-paired,Model11,root_angle,8.825291
Not-paired,Model11,w1,10.628703
Not-paired,Model11,brace_root_whorls_in_the_soil,13.264865
Not-paired,Model11,stalk_width_cm,13.300435
Not-paired,Model11,single_root_width_cm,15.047677
Not-paired,Model11,flexural_rigidity_ei_imu,16.97766
Not-paired,Model11,root_heightonstalk_cm,17.035703
Not-paired,Model11,ratio_none_all_imu,23.65812
Not-paired,Model11,height_cm,41.739583
Not-paired,Model12,w3,0.5893593
Not-paired,Model12,num_whorls,3.424256
Not-paired,Model12,spread_width_cm,13.2165827
Not-paired,Model12,w2,13.3517908
Not-paired,Model12,brace_root_whorls_in_the_soil,13.5094389
Not-paired,Model12,stalk_to_rootgrounding_cm,16.3990199
Not-paired,Model12,root_angle,17.2726964
Not-paired,Model12,w1,18.6570543
Not-paired,Model12,ratio_none_all_imu,22.0640475
Not-paired,Model12,stalk_width_cm,24.438481
Not-paired,Model12,flexural_rigidity_ei_imu,27.5919173
Not-paired,Model12,single_root_width_cm,29.1866539
Not-paired,Model12,root_heightonstalk_cm,30.511372
Not-paired,Model13,w3,0
Not-paired,Model13,num_whorls,1.23311
Not-paired,Model13,brace_root_whorls_in_the_soil,4.065496
Not-paired,Model13,root_angle,6.363443
Not-paired,Model13,root_heightonstalk_cm,6.825119
Not-paired,Model13,w2,7.351517
Not-paired,Model13,stalk_to_rootgrounding_cm,7.701818
Not-paired,Model13,spread_width_cm,8.56053
Not-paired,Model13,single_root_width_cm,19.922198
Not-paired,Model13,w1,20.931048
Not-paired,Model13,stalk_width_cm,41.6244
Not-paired,Model13,height_cm,42.194071
Not-paired,Model14,w3,0.1982829
Not-paired,Model14,num_whorls,1.2550447
Not-paired,Model14,brace_root_whorls_in_the_soil,4.8789584
Not-paired,Model14,root_angle,7.9355053
Not-paired,Model14,stalk_to_rootgrounding_cm,9.7409807
Not-paired,Model14,root_heightonstalk_cm,10.193222
Not-paired,Model14,spread_width_cm,10.2127957
Not-paired,Model14,w2,14.4728334
Not-paired,Model14,single_root_width_cm,21.8363379
Not-paired,Model14,w1,23.7209268
Not-paired,Model14,stalk_width_cm,48.4675072
Not-paired,Model15,w3,0.09335877
Not-paired,Model15,w2,7.11792468
Not-paired,Model15,num_whorls,8.00658569
Not-paired,Model15,root_angle,8.9007244
Not-paired,Model15,brace_root_whorls_in_the_soil,9.10450518
Not-paired,Model15,single_root_width_cm,12.20195675
Not-paired,Model15,spread_width_cm,14.0634128
Not-paired,Model15,root_heightonstalk_cm,14.12967236
Not-paired,Model15,stalk_width_cm,17.22015088
Not-paired,Model15,w1,24.44884982
Not-paired,Model15,stalk_to_rootgrounding_cm,26.0720426
Not-paired,Model15,height_cm,33.74223316
Not-paired,Model16,w3,0.1338882
Not-paired,Model16,num_whorls,7.3056475
Not-paired,Model16,brace_root_whorls_in_the_soil,8.0855485
Not-paired,Model16,spread_width_cm,11.2651533
Not-paired,Model16,root_angle,12.3176548
Not-paired,Model16,w2,12.9544813
Not-paired,Model16,root_heightonstalk_cm,14.8581806
Not-paired,Model16,single_root_width_cm,16.9718556
Not-paired,Model16,stalk_width_cm,19.3887064
Not-paired,Model16,stalk_to_rootgrounding_cm,24.8454285
Not-paired,Model16,w1,28.0721526
Paired,Model2,w3,0.1564836
Paired,Model2,num_whorls,0.9511254
Paired,Model2,brace_root_whorls_in_the_soil,1.4878769
Paired,Model2,w2,4.9630044
Paired,Model2,stalk_to_rootgrounding_cm,9.795466
Paired,Model2,root_angle,10.7244976
Paired,Model2,single_root_width_cm,13.5627774
Paired,Model2,w1,14.6972615
Paired,Model2,spread_width_cm,14.8930577
Paired,Model2,root_heightonstalk_cm,20.8977195
Paired,Model2,stalk_width_cm,56.2339992
Paired,Model3,w3,2.158027
Paired,Model3,num_whorls,2.870546
Paired,Model3,w2,6.217035
Paired,Model3,w1,10.957208
Paired,Model3,root_angle,12.043811
Paired,Model3,brace_root_whorls_in_the_soil,12.303502
Paired,Model3,stalk_to_rootgrounding_cm,12.492325
Paired,Model3,stalk_width_cm,12.854321
Paired,Model3,spread_width_cm,13.042556
Paired,Model3,root_heightonstalk_cm,13.548973
Paired,Model3,single_root_width_cm,14.881153
Paired,Model3,height_cm,15.00164
Paired,Model4,w3,2.307366
Paired,Model4,num_whorls,4.602245
Paired,Model4,w2,6.921838
Paired,Model4,w1,12.395837
Paired,Model4,root_angle,12.706147
Paired,Model4,brace_root_whorls_in_the_soil,12.728794
Paired,Model4,spread_width_cm,14.143913
Paired,Model4,stalk_to_rootgrounding_cm,14.408145
Paired,Model4,root_heightonstalk_cm,14.865387
Paired,Model4,stalk_width_cm,15.768967
Paired,Model4,single_root_width_cm,17.449268
Not-paired,Model5,w3,0.3080672
Not-paired,Model5,num_whorls,7.7793417
Not-paired,Model5,brace_root_whorls_in_the_soil,16.9312983
Not-paired,Model5,w2,22.6653162
Not-paired,Model5,spread_width_cm,25.0290255
Not-paired,Model5,w1,26.0237081
Not-paired,Model5,root_angle,30.1129883
Not-paired,Model5,root_heightonstalk_cm,30.2020943
Not-paired,Model5,stalk_to_rootgrounding_cm,33.2175692
Not-paired,Model5,single_root_width_cm,34.1098232
Not-paired,Model5,stalk_width_cm,42.1076662
Not-paired,Model5,height_cm,65.8400821
Not-paired,Model6,w3,0.2532554
Not-paired,Model6,num_whorls,9.2705819
Not-paired,Model6,brace_root_whorls_in_the_soil,20.9451884
Not-paired,Model6,w2,21.1649628
Not-paired,Model6,spread_width_cm,31.2381493
Not-paired,Model6,w1,32.8345468
Not-paired,Model6,stalk_to_rootgrounding_cm,33.2252673
Not-paired,Model6,single_root_width_cm,36.3109947
Not-paired,Model6,root_heightonstalk_cm,39.2282137
Not-paired,Model6,root_angle,39.2615094
Not-paired,Model6,stalk_width_cm,52.1413551
Not-paired,Model7,w3,0.0348203
Not-paired,Model7,num_whorls,2.4199818
Not-paired,Model7,w2,6.4708053
Not-paired,Model7,spread_width_cm,6.7508978
Not-paired,Model7,root_angle,7.7273809
Not-paired,Model7,stalk_to_rootgrounding_cm,7.8668472
Not-paired,Model7,root_heightonstalk_cm,8.1713184
Not-paired,Model7,w1,8.9884573
Not-paired,Model7,ratio_none_all_imu,10.1611007
Not-paired,Model7,single_root_width_cm,10.4611979
Not-paired,Model7,brace_root_whorls_in_the_soil,10.5107981
Not-paired,Model7,flexural_rigidity_ei_imu,13.364742
Not-paired,Model7,stalk_width_cm,13.561023
Not-paired,Model7,height_cm,31.0057843
Not-paired,Model8,w3,0.2124028
Not-paired,Model8,num_whorls,4.9571484
Not-paired,Model8,brace_root_whorls_in_the_soil,13.9404442
Not-paired,Model8,w2,14.1917881
Not-paired,Model8,spread_width_cm,17.3581779
Not-paired,Model8,stalk_to_rootgrounding_cm,17.6103491
Not-paired,Model8,single_root_width_cm,18.0561354
Not-paired,Model8,w1,18.0808283
Not-paired,Model8,root_angle,20.0050081
Not-paired,Model8,root_heightonstalk_cm,20.560737
Not-paired,Model8,ratio_none_all_imu,25.0194928
Not-paired,Model8,stalk_width_cm,29.1431864
Not-paired,Model8,flexural_rigidity_ei_imu,32.1776216
Not-paired,Model9,w3,1.638288
Not-paired,Model9,num_whorls,7.413767
Not-paired,Model9,w2,17.683246
Not-paired,Model9,brace_root_whorls_in_the_soil,19.245763
Not-paired,Model9,spread_width_cm,24.808566
Not-paired,Model9,w1,27.642569
Not-paired,Model9,stalk_to_rootgrounding_cm,30.748351
Not-paired,Model9,root_angle,33.148851
Not-paired,Model9,stalk_width_cm,40.588169
Not-paired,Model9,root_heightonstalk_cm,41.160647
Not-paired,Model9,single_root_width_cm,43.418216
Not-paired,Model9,height_cm,65.739894
