,Year,Accession,Plot.ID,PLOT_ID2,PLOT_ID3,Ratio..None.All....IMU,cat
1,2019,PHR58,1260,3,1,0.54293375,GR
2,2019,PHR58,1260,3,1,0.02824387,GR
3,2019,PHR58,1260,3,1,0.31411968,GR
4,2019,PHR58,1260,3,1,0.67870885,GR
5,2019,PHR58,1260,3,1,0.47811779,GR
6,2019,PHR58,1260,3,1,0.62224444,GR
7,2019,PHR58,1260,3,1,0.87220417,GR
8,2019,PHR58,1260,3,1,0.82335468,GR
9,2019,PHR58,1260,3,1,0.83099579,GR
10,2019,PHR58,1260,3,1,0.44514806,GR
11,2019,PHR58,1260,3,1,0.51411229,GR
12,2019,B104,1262,3,1,0.92945641,GR
13,2019,B104,1262,3,1,0.46121291,GR
14,2019,B104,1262,3,1,0.65450131,GR
15,2019,B104,1262,3,1,0.59976746,GR
16,2019,B104,1262,3,1,0.45327714,GR
17,2019,B104,1262,3,1,0.84869748,GR
18,2019,B104,1262,3,1,0.68928019,GR
19,2019,B104,1262,3,1,0.72179494,GR
20,2019,B104,1262,3,1,0.26644631,GR
21,2019,B104,1262,3,1,0.85528063,GR
22,2019,B104,1262,3,1,0.65900567,GR
23,2019,B104,1262,3,1,0.8723557,GR
24,2019,B104,1262,3,1,0.74365517,GR
25,2019,B104,1262,3,1,0.45522666,GR
26,2019,B104,1262,3,1,0.75680099,GR
27,2019,B104,1262,3,1,0.80220386,GR
28,2019,CML277,1264,3,1,0.43226011,GR
29,2019,CML277,1264,3,1,0.65924572,GR
30,2019,CML277,1264,3,1,0.81629636,GR
31,2019,CML277,1264,3,1,0.78301339,GR
32,2019,CML277,1264,3,1,0.98453948,GR
33,2019,CML277,1264,3,1,0.77666103,GR
34,2019,CML277,1264,3,1,0.61770158,GR
35,2019,CML277,1264,3,1,0.77749011,GR
36,2019,CML277,1264,3,1,0.84725949,GR
37,2019,CML277,1264,3,1,0.22878486,GR
38,2019,CML228,1266,2,1,0.64609344,GR
39,2019,CML228,1266,2,1,0.60112566,GR
40,2019,CML228,1266,2,1,0.82330088,GR
41,2019,CML228,1266,2,1,0.74160993,GR
42,2019,CML228,1266,2,1,0.83849958,GR
43,2019,CML228,1266,2,1,1.01758319,GR
44,2019,CML228,1266,2,1,0.75638591,GR
45,2019,CML228,1266,2,1,0.86012798,GR
46,2019,CML228,1266,2,1,0.57461692,GR
47,2019,CML228,1266,2,1,0.72164453,GR
48,2019,CML228,1266,2,1,0.53129553,GR
49,2019,CML228,1266,2,1,0.75702302,GR
50,2019,CML228,1266,2,1,0.66610745,GR
51,2019,Mo17,1268,3,1,0.50401975,GR
52,2019,Mo17,1268,3,1,0.38463073,GR
53,2019,Mo17,1268,3,1,0.52323867,GR
54,2019,CML322,1269,3,1,0.62473379,GR
55,2019,PHK46,1277,3,1,0.66231198,GR
56,2019,PHK46,1277,3,1,0.59466803,GR
57,2019,PHK46,1277,3,1,0.32763546,GR
58,2019,PHK46,1277,3,1,0.46769931,GR
59,2019,PHK46,1277,3,1,0.53140987,GR
60,2019,PHK46,1277,3,1,0.47972224,GR
61,2019,PHK46,1277,3,1,0.51349032,GR
62,2019,PHK46,1277,3,1,0.530863,GR
63,2019,PHK46,1277,3,1,0.77846551,GR
64,2019,PHK46,1277,3,1,0.39937214,GR
65,2019,PHK46,1277,3,1,0.4401218,GR
66,2019,PHK46,1277,3,1,0.65946878,GR
67,2019,PHK46,1277,3,1,0.50771491,GR
68,2019,Hp301,1278,3,1,0.04708339,GR
69,2019,Hp301,1278,3,1,0.44744759,GR
70,2019,Hp301,1278,3,1,0.60066945,GR
71,2019,Hp301,1278,3,1,0.70159064,GR
72,2019,Hp301,1278,3,1,0.60738346,GR
73,2019,Hp301,1278,3,1,0.62426079,GR
74,2019,Hp301,1278,3,1,0.4601523,GR
75,2019,Hp301,1278,3,1,0.54180355,GR
76,2019,Hp301,1278,3,1,0.89671508,GR
77,2019,Hp301,1278,3,1,1.03826476,GR
78,2019,A632,1282,3,1,0.48908544,GR
79,2019,A632,1282,3,1,0.68172179,GR
80,2019,A632,1282,3,1,0.53035698,GR
81,2019,A632,1282,3,1,0.35436191,GR
82,2019,A632,1282,3,1,0.65940584,GR
83,2019,A632,1282,3,1,0.75726417,GR
84,2019,A632,1282,3,1,0.90290718,GR
85,2019,A632,1282,3,1,0.70854339,GR
86,2019,Ms71,1283,3,1,0.82304641,GR
87,2019,Ms71,1283,3,1,0.79030369,GR
88,2019,Ms71,1283,3,1,0.59756957,GR
89,2019,Ms71,1283,3,1,0.72686769,GR
90,2019,Ms71,1283,3,1,0.37333044,GR
91,2019,Ms71,1283,3,1,0.68954451,GR
92,2019,Ms71,1283,3,1,0.81091589,GR
93,2019,Ms71,1283,3,1,0.35315084,GR
94,2019,Ki3,1289,3,1,0.49362895,GR
95,2019,Ki3,1289,3,1,0.85611254,GR
96,2019,Ki3,1289,3,1,0.490273848,GR
97,2019,Ki3,1289,3,1,0.42770449,GR
98,2019,CML373,1290,3,1,0.6015669,GR
99,2019,CML373,1290,3,1,0.63683678,GR
100,2019,CML373,1290,3,1,0.46333807,GR
101,2019,CML373,1290,3,1,0.64579147,GR
102,2019,CML373,1290,3,1,0.61463344,GR
103,2019,CML373,1290,3,1,0.89519152,GR
104,2019,CML373,1290,3,1,0.65776575,GR
105,2019,CML373,1290,3,1,0.67997471,GR
106,2019,CML373,1290,3,1,0.87576485,GR
107,2019,CML373,1290,3,1,0.6508624,GR
108,2019,CML373,1290,3,1,0.79386598,GR
109,2019,CML373,1290,3,1,0.48507311,GR
110,2019,6M502,1293,3,1,0.73667599,GR
111,2019,6M502,1293,3,1,0.47912176,GR
112,2019,6M502,1293,3,1,0.97762219,GR
113,2019,6M502,1293,3,1,0.70299208,GR
114,2019,6M502,1293,3,1,0.31122847,GR
