Brace.Root.Whorls.in.the.Soil,num_whorls,w1,w2,root_angle,height.cm.,stalk_width.cm,spread_width.cm,single_root_width.cm,root_heightonstalk.cm,stalk_to_rootgrounding.cm
2,2,15,15,45.34191723,164,2.507404134,13.78038902,0.573038863,5.467640101,5.636492446
2,2,12,15,28.38981608,165,1.946714712,6.781315934,0.34975293,4.451445263,2.417300612
2,1,16,0,52.31389359,165,1.807014288,6.883152538,0.457860499,1.894345114,2.538069126
1,1.5,12,4,46.98157653,165,2.292960799,10.80647748,0.298482796,3.918042184,4.256758343
1,1,15,0,46.9567836,165,1.858850036,6.174843332,0.363695512,1.984111677,2.157996647
2,2,9,0,22.57185686,165,1.81881671,6.960966246,0.569854447,6.205098114,2.57107477
2,1,14,0,36.00440876,166,2.284521481,6.20886363,0.782985672,2.694574918,1.962171076
3,2,12,25,38.55698182,167,2.71648823,10.89183322,0.353891985,5.070013323,4.087672493
1,1,12,0,48.29085662,167,1.255324022,4.204303359,0.236627107,1.307672923,1.474489668
3,1,16,0,41.4242251,167,2.213191454,7.789345338,0.408388224,4.122666022,2.788076942
2,1,17,0,48.75651171,168,1.929233304,7.072686995,0.477952659,2.266214565,2.571726847
2,1.5,18,7,29.46973872,168,1.516010369,4.875138441,0.32133756,3.117552688,1.679564037
2,1,15,0,34.7317091,169,1.657058939,5.742256788,0.413802934,2.935079127,2.042598925
2,1,15,0,57.94834759,169,2.769565304,10.24728699,0.45591292,2.313780706,3.738860841
1,1,11,0,45.90997037,169,1.525449611,4.348769052,0.41020836,1.340109489,1.411659722
2,2,9,16,38.39767947,169,2.004805043,7.960973776,0.578955091,3.697512807,2.978084368
2,1,14,0,44.09712532,169,1.69419936,7.633012898,0.56172724,3.033814261,2.96940677
2,1,15,0,45.58816098,170,1.788640494,6.144413721,0.436290989,2.067120503,2.177886616
2,1,13,0,39.24973824,170,1.957091524,4.787474746,0.35731809,1.70926556,1.415191611
2,1,21,0,41.6054399,170,3.493646614,11.39875246,0.554550632,4.157638216,3.952552924
3,1.5,17,1,48.57103112,170,2.63857613,8.175182819,0.350536651,2.415333367,2.768303345
2,1,13,0,47.3692907,170,1.49679943,9.028874444,0.458555711,3.512974078,3.766037507
3,2,15,12,28.09066368,170.5,2.12743461,6.741881505,0.185476911,4.320176123,2.307223449
2,2,6,22,49.945986,171,1.915672722,7.674588179,0.273302054,2.429305145,2.87945773
2,1,14,0,39.32418188,171,1.75193325,5.99055825,0.485155875,2.5796875,2.1193125
2,1,19,0,41.31345326,171,2.855572244,9.789155865,0.382284202,3.970406753,3.46679181
2,2,9,9,38.08162705,171,2.1542121,6.625670434,0.658230417,2.831570834,2.235729168
2,1.5,16,8,42.06282276,171,2.210199082,7.915114,0.424293817,3.313669881,2.852457459
2,1.5,14,7,28.42241925,171,1.648057077,4.725961495,0.238643213,2.840482258,1.53895221
3,2,10,10,33.58407211,171,1.756949036,4.589912334,0.456319054,2.116732087,1.416481649
3,1,17,0,30.88070625,171,2.382889448,8.67960181,0.536426451,5.504140354,3.148356181
