stalk_width.x,stalk_width.y,leftmost_single_root_width.x,leftmost_single_root_width.y,num_whorls.x,num_whorls.y,w1.x,w1.y,w2.x,w2.y,w3.x,w3.y,w4.x,w4.y,root_heightonstalk_left.x,root_heightonstalk_left.y,root_heightonstalk_right.x,root_heightonstalk_right.y,stalk_to_leftmost_rootgrounding.x,stalk_to_leftmost_rootgrounding.y,stalk_to_rightmost_rootgrounding.x,stalk_to_rightmost_rootgrounding.y,root_angledeg_left.x,root_angledeg_left.y,root_angledeg_right.x,root_angledeg_right.y,spread_width.x,spread_width.y
1.016089335,1.04116731,0.202991702,0.234096757,2,2,7,8,10,9,0,0,0,0,2.319857649,2.513711152,2.02883608,2.513711152,1.721184707,1.701198456,1.496682354,2.234409913,36.57303098,34.08887162,36.41637852,41.63353934,4.233956397,4.976775679
0.99877363,0.992695906,0.152980956,0.20406555,2,2,8,7,6,12,0,0,0,0,2.189947266,2.28782538,2.076070008,2.12683026,1.620560977,1.770946312,1.585521821,1.601477766,36.50144112,37.74252511,37.36944577,36.9793102,4.204856427,4.365119984
0.810062422,0.794780555,0.182721598,0.139881134,2,2,6,5,9,8,0,0,0,0,1.914273824,1.8668089,1.78110695,1.882048156,1.140241365,1.165803109,1.206824802,1.135324596,30.78023448,31.98435723,34.12039254,31.10001259,3.157128589,3.09590826
1.066360656,1.013459123,0.151139344,0.184167333,2,2,7,7,11,9,0,0,0,0,2.204918033,2.062400091,2.016393443,1.962491436,1.590163934,1.462948162,1.590163934,1.627083809,35.79875034,35.34970019,38.2599439,39.66181854,4.246688525,4.103491094
0.971842857,0.98465625,0.242442857,0.230703125,2,2,6,7,8,8,0,0,0,0,2.242857143,2.59375,2.271428571,2.421875,1.857142857,1.8046875,1.671428571,1.3984375,39.62562263,34.82954526,36.34745821,30.00296865,4.500414286,4.18778125
1.096318016,1.020325397,0.234108825,0.158730159,2,2,7,8,9,10,0,0,0,0,2.605268218,2.658730159,2.557200538,2.611111111,1.951547779,2.373015873,1.778504134,2.119047619,36.8360549,41.7501017,34.81817766,39.06106222,4.826369929,5.512388889
0.841528302,0.778284711,0.157009434,0.141719859,2,2,7,7,7,8,0,0,0,0,1.745283019,1.31374145,1.613207547,1.249482357,1.462264151,1.120964172,1.160377359,1.106684374,39.95754893,40.47282899,35.72739822,41.53177074,3.464169811,3.005933256
1.047216981,1.025404946,0.191018868,0.150904879,2,3,9,3,7,8,0,2,0,0,2.981132076,3.51619784,2.849056604,3.266231169,1.820754717,1.733102253,1.566037736,1.808092254,31.41489508,26.23827271,28.79622579,28.96766065,4.434009434,4.566599453
1.122424827,1.118650962,0.19246077,0.196549748,2,2,3,4,10,10,0,0,0,0,2.086438152,2.394467763,2.068905058,2.17258658,2.323134917,2.246546974,1.937406855,1.719579165,48.07257022,43.17445769,43.12006946,38.36123993,5.3829666,5.084777102
0.908806603,0.945181269,0.177426927,0.209877207,2,2,7,9,7,5,0,0,0,0,1.809783432,2.143878037,1.84764501,1.967142572,1.211570498,1.72124975,1.340299864,1.398515422,33.80057034,38.75984443,35.95750052,35.41044829,3.460676965,4.064946442
1.260715807,1.267042616,0.222953582,0.177109358,2,3,3,4,8,10,0,1,0,0,1.795996964,1.847026911,1.712677517,1.695338711,2.082986169,2.266400171,1.573811772,2.49839389,49.23135781,50.82132137,42.58049078,55.84030545,4.917513748,6.031836676
1.132270117,1.024750852,0.176774277,0.159126672,2,2,7,8,13,10,0,0,0,0,2.466318192,2.737345922,2.346683354,2.655389457,2.125819039,1.827629163,1.674887727,2.343954891,40.75937579,33.72963643,35.51641776,41.43536103,4.932976883,5.196334907
0.943470662,0.978798624,0.163945069,0.182658825,2,2,5,5,11,3,0,0,0,0,1.706200583,1.645574996,1.439866833,1.560642093,3.104452767,2.208255478,1.714523512,2.102089349,61.20689924,53.30680428,49.97626421,53.40891173,5.762446941,5.289143452
0.956538007,0.982330164,0.207872549,0.167599847,1,2,6,6,0,3,0,0,0,0,0.46563451,1.299787308,0.515523922,1.163445982,1.430163138,4.544710866,1.180716079,1.736079551,71.96571443,74.03947051,66.41296947,56.17170408,3.567417225,7.26312058
