Accession,Ratio..None.All....IMU,Percent.Lodging,Brace.Root.Whorls.in.the.Soil,num_whorls,w1,w2,w3,root_angle,height.cm.,stalk_width.cm,spread_width.cm,single_root_width.cm,root_heightonstalk.cm,stalk_to_rootgrounding.cm,Ratio..None.All....IMU_2019
2369,0.63582085054054,23.5294117629412,1.72727272727273,1.25,12.1818181818182,3.63636363636364,0,29.1353463245455,208.727272727273,1.807968263025,8.20966956984454,0.492822595413636,6.32421607568068,3.20085065366955,0.624718914090909
6M502,0.583415486756757,0,2,1.67391304347826,15.6086956521739,9,0.0434782608695652,47.1677115066304,192.434782608696,2.23191488166826,8.63289919489087,0.44207664188,3.14077403580196,3.20049215688739,0.557248837391304
A632,0.731216865714286,0,2.0952380952381,1.38095238095238,13.1904761904762,6,0,34.7045102125,181.142857142857,1.8731153314981,7.77431974276476,0.525519280792857,4.47724987378405,2.950602205845,0.68538629047619
B104,0.710575942,0,2.36666666666667,1.58333333333333,17.8,8.53333333333333,0,40.7978229730833,181.7,2.523908156644,9.08041893687367,0.323972818440333,3.8280336547505,3.27825539030533,0.718072850333333
B73,0.5211642171875,32.3529411758824,2.11111111111111,1.30555555555556,11.1666666666667,2.27777777777778,0,25.1715563507222,214.888888888889,1.98528480182389,7.86982863109556,0.586457821733889,7.04603865734417,2.94227191449472,0.506733483888889
B97,0.682209932666667,57.8947368426316,1.42857142857143,1.47619047619048,10.4761904761905,3,0,40.9865813555952,202.285714285714,2.05538852604238,7.59473916805143,0.501663785003333,3.31578261458429,2.76967532133714,0.699323002380952
CML10,0.752199136785714,100,1.76470588235294,1.97058823529412,16.5294117647059,8.70588235294118,0.352941176470588,39.2664202145588,244.647058823529,2.45253305365647,9.29608124494118,0.406080498704118,4.678742066805,3.42177409594118,0.770613694117647
CML103,0.6128096716,63.6363636345455,2,1.13333333333333,15.4666666666667,0.8,0,49.2927327363333,213.333333333333,2.25206791377067,7.49545827126667,0.668196887970667,2.281908390962,2.621695178875,0.608188286
CML228,0.719941616153846,0,2.0952380952381,1.61904761904762,12.3809523809524,3.80952380952381,0.0952380952380952,37.0189824803571,212.619047619048,2.51203090061095,8.97666832878571,0.69197178852,4.46174025919452,3.23231871420833,0.705113275238095
CML247,0.630766587307692,66.666666665,2.28571428571429,1.03571428571429,13.9285714285714,0.5,0,28.1727385730357,209.714285714286,2.16461856245929,8.36867970932143,0.512055003864286,6.233137963595,3.10203057370321,0.650101155
CML258,0.499708286129032,34.4827586224138,2.66666666666667,2,14.3809523809524,17.5238095238095,0.142857142857143,38.5508911079762,274.571428571429,2.57868467068619,12.4476888060857,0.476831426259524,6.20470205810738,4.93450206763929,0.502316837142857
CML277,0.696665864666667,0,1.78787878787879,1.27272727272727,14,4.84848484848485,0,24.2310392900455,231.121212121212,1.95453852470182,7.17265952034758,0.457396647107879,6.40434963943591,2.60906049807303,0.654301035151515
CML322,0.633320008181818,0,3,1,9,0,0,55.022734465,176,2.4960692903,8.61845861268,0.46832804099,2.169884980135,3.06119465992,0.62473379
CML333,0.644820906666667,66.6666666666667,1.81818181818182,1.45454545454545,16.2727272727273,7.72727272727273,0,35.6420253188636,231,1.87546876908636,6.62341768162545,0.338259025376364,3.19245220105045,2.37397445632727,0.725317869090909
CML341,0.690625939090909,32.2580645141935,1.96666666666667,1.11666666666667,12.2,0.7,0,37.2244227021667,213.7,2.07443515380533,7.379944797993,0.43955814298,3.97390338794483,2.65275482222083,0.680703297333333
CML373,0.671232646363636,0,2.52941176470588,1.85294117647059,13,10.0588235294118,0.823529411764706,40.7473101344118,213.235294117647,2.23921793889294,7.77294510775647,0.477924933000588,3.36139965215176,2.76686358443176,0.682209927647059
CML52,0.851181565526316,100,1.18181818181818,1.54545454545455,14.6818181818182,1.68181818181818,0,29.4787669348864,256.545454545455,2.28208875652364,6.59400193544864,0.47258374241,4.15424846510273,2.15595658954909,0.881493188181818
CML69,0.737170373529412,97.05882353,1.63636363636364,1.13636363636364,9.81818181818182,1.04545454545455,0,32.36084508125,193.545454545455,2.21845224872636,8.53471875048818,0.422926981978182,5.23963828790523,3.15813325105409,0.782287366363636
F118,0.6959307575,8.333333335,2.35714285714286,1.82142857142857,14.7142857142857,12.0714285714286,0.428571428571429,35.5550729826786,194.428571428571,2.57473854386143,7.470117774365,0.551608379345714,3.68196895027321,2.44768961556929,0.711555885
GT112,0.44212045631579,12.0000000008,2.125,1.35416666666667,15.4583333333333,4.29166666666667,0,36.4019916134375,249.458333333333,2.17484801366417,8.56361105748667,0.528103139615417,4.66391721863958,3.19438152209646,0.43655432125
Hickory King,0.550906440882353,76.6081871368421,2.22222222222222,1.36111111111111,14.3333333333333,3.88888888888889,0,40.4414724631944,281.388888888889,2.44353140000444,9.20555109475944,0.56336080241,4.196343429115,3.38100984751861,0.586165445
Hp301,0.448327344468085,0,1.86666666666667,1.28333333333333,13.7,4.26666666666667,0,43.1325221665,189.7,1.81914910773633,6.2445753696,0.418449460449333,2.32674956920767,2.2127131310165,0.449271333666667
Ki11,0.765802523214286,0,1.88888888888889,1.58333333333333,14.5555555555556,7.88888888888889,0,31.0363753908333,205.833333333333,2.49300437686333,6.66271192502222,0.552821576035556,3.58360913783611,2.08485377411472,0.823196394444444
Ki3,0.670456158,0,2,1.625,14.5,3.75,0,44.48307990875,166.25,2.4339743970275,8.8333039916625,0.447898519365,3.3320467696625,3.1996647979525,0.5503456595
Ky21,0.812845553409091,34.7826086995652,2.1304347826087,1.41304347826087,8.43478260869565,0.826086956521739,0,42.0468076082609,205.217391304348,2.19229779731522,9.96868730839174,0.464445537131739,4.38627807895196,3.88819475584196,0.801564676086956
L163,0.545096158378378,0,2.27272727272727,1.27272727272727,12.3636363636364,2.27272727272727,0,34.2122661311364,202.181818181818,1.97652663356455,6.29718426725682,0.471727275884545,3.43292050232477,2.16032881707705,0.521352333181818
LH123Ht,0.541067490909091,26.923076921,2.04,1.26,11.8,2.2,0,44.5848866085,246.94,1.7861919977892,8.424383368624,0.6935467159264,3.639467485719,3.3190956857222,0.5180766132
LH211,0.517217629142857,5.88235294,2.33333333333333,1.375,13.7083333333333,4.16666666666667,0.0416666666666667,36.9451008108333,255.333333333333,1.87365672247417,10.7366441792383,0.531764106438333,6.23352897090396,4.43149372856729,0.531890432916667
LH252,0.498461416153846,65.000000001,1.57142857142857,1.64285714285714,9.14285714285714,4,0,48.4721370871429,249.857142857143,1.97816713404571,9.37302995342,0.43823646414,3.76485260925429,3.69743140995929,0.478089661428571
M162W,0.606998859642857,6.4516129016129,2,1.41666666666667,16.4444444444444,5.55555555555556,0,31.0268368251389,203.916666666667,2.53597334427944,6.06974309649833,0.421715761215,2.95069027501806,1.76688487610944,0.640985040555556
M37W,0.629384549677419,13.7931034496552,2.04166666666667,1.77083333333333,11.5833333333333,5.54166666666667,0,36.1538901889583,210.583333333333,2.34533756113583,10.7645639604679,0.411059741812917,5.88495376233229,4.20961319977187,0.634640145416667
Mo17,0.500642130714286,0,2.16666666666667,1.5,11,3.16666666666667,0,42.1786244925,208.666666666667,2.281366556765,10.1285604773233,0.527262801835,4.43903598781917,3.923596960385,0.419063381666667
Mo18W,0.633721307428571,97.22222222,2.70833333333333,1.20833333333333,18.5833333333333,5.125,0,27.3908738241667,221.625,2.57395955208542,9.83349487550542,0.379051186640417,7.18141431422333,3.62976766192167,0.590703419583333
Ms71,0.628608735862069,0,1.68421052631579,1.39473684210526,12.5263157894737,2.47368421052632,0.157894736842105,43.465473415,179.684210526316,2.07137911077947,9.95122771885684,0.483322614693158,4.27315419935316,3.93992430410553,0.656734394210526
NC262,0.717377925625,15.3846153838462,2.44444444444444,1.22222222222222,15.1111111111111,3.33333333333333,0,41.0338160883333,155.666666666667,2.30431121842222,8.38956563045333,0.422466362471111,3.77617175478444,3.042627205945,0.64878413
NC350,0.72269198047619,75,1.61538461538462,1.07692307692308,17.4615384615385,0.461538461538462,0,32.4597124253846,188.846153846154,2.05888252111615,7.72162546945923,0.366350825785385,4.83309387890731,2.83137147431808,0.718550981538462
Oh43,0.701808549032258,3.44827586193103,1.63636363636364,1.13636363636364,10.8181818181818,1.27272727272727,0,41.1882987788409,189.227272727273,2.00479743554455,8.36534118896227,0.60449396881,4.34230156574318,3.18027187670886,0.647199735454545
