Accession,PLOT_ID,PLOT_ID2,Ratio..None.All....IMU,Brace.Root.Whorls.in.the.Soil,Flexural.Rigidity..EI....IMU,num_whorls,w1,w2,w3,root_angle,height.cm.,stalk_width.cm,spread_width.cm,single_root_width.cm,root_heightonstalk.cm,stalk_to_rootgrounding.cm,cat
Ki11,1310,1,0.6340188,2,30.43349225,1,9,0,0,35.07916607,206,2.620258788,7.514230821,0.701978213,3.469509939,2.446986019,GR
A632,1321,2,0.34942815,2,8.095802371,2,13,18,0,43.83874919,175,1.868049104,8.542804446,0.47943855,3.446054905,3.337377671,GR
A632,1321,2,0.37828891,2,3.48239538,1,13,0,0,53.66570122,160,1.542169316,5.101193125,0.392249831,1.309939486,1.779511906,GR
A632,1321,2,0.59272316,2,7.660431562,2,16,16,0,36.19179882,181,2.053937,8.192249465,0.522865774,4.18343355,3.069156233,GR
A632,1321,2,0.56633483,3,7.394896965,1.5,20,9,0,47.07000216,179,2.011540112,9.953747682,0.540968211,3.803857805,3.971103785,GR
A632,1321,2,0.5728928,2,7.664652832,1.5,16,8,0,42.06282276,171,2.210199082,7.915114,0.424293817,3.313669881,2.852457459,GR
Hp301,1322,2,0.41367157,2,7.68062164,2,8,22,0,53.38496268,190,1.84179038,8.883299307,0.460493254,2.60577309,3.520754465,GR
Hp301,1322,2,0.39323189,2,8.087026899,2,7,16,0,39.63626462,188,1.774808305,6.648728039,0.376328921,2.891123225,2.43695987,GR
Hp301,1322,2,0.46201209,2,5.897511222,1.5,11,5,0,50.62022273,183,1.932376552,6.917260936,0.352044958,2.042736673,2.492442191,GR
Hp301,1322,2,0.44612202,2,7.327989332,1.5,13,7,0,46.13477293,188,1.806259707,8.423000055,0.544522298,3.148953879,3.308370175,GR
Hp301,1322,2,0.42576964,2,6.739803741,1.5,14,9,0,49.01409026,183,1.882071148,7.267282499,0.405308051,2.340972988,2.692605677,GR
Hp301,1322,2,0.62730233,2,8.309186066,2,9,19,0,49.3032409,180,2.108174938,9.648992663,0.485566441,3.253955527,3.770408863,GR
PHR58,1334,2,0.74526136,2,6.578408548,1,11,0,0,46.13649172,247,2.378132559,7.451634022,0.672606111,2.481513159,2.536750732,GR
PHR58,1334,2,0.27817995,2,10.69395677,1,14,0,0,48.42393925,242,2.232934698,7.786441288,0.660515501,2.28984605,2.776753295,GR
PHR58,1334,2,0.27173864,2,8.665698,1,11,0,0,46.55161465,247,2.658147691,9.055345232,0.618476227,3.123091789,3.198598772,GR
PHR58,1334,2,0.43343631,2,8.377393567,1,15,0,0,24.7726538,253,2.135567774,6.467053065,0.758486611,1.506925368,2.165742646,GR
PHR58,1334,2,0.4571708,2,11.71062033,1,13,0,0,54.00991508,248,2.318360238,10.56251185,0.780178617,2.885877568,4.122075808,GR
PHR58,1334,2,0.30649808,2,12.29451489,1,0,0,0,25.15605497,242,1.158308136,5.590845079,0.491212523,2.433546771,2.216268472,GR
PHR58,1334,2,0.64564235,2,8.495116146,1.5,7,7,0,41.18564292,252,2.219090845,6.170642927,0.720062219,2.168260417,1.975776042,GR
6M502,1338,2,0.28123624,3,10.22522775,2,18,5,0,58.23134005,203,2.360276626,9.334588265,0.559712816,2.127053596,3.48715582,GR
6M502,1338,2,0.31182821,2,7.492901387,2,17,13,0,46.16209668,221,1.965922393,10.09543185,0.58732906,3.857705937,4.064754729,GR
6M502,1338,2,0.37972448,2,6.906163075,2.5,13,15,1,50.05525333,203,1.762903345,7.058007753,0.5562959,2.21495908,2.647552206,GR
6M502,1338,2,0.47838339,2,7.428062026,2,15,18,0,45.87014994,214,1.887618236,9.00330276,0.42957005,3.435304117,3.557842263,GR
6M502,1338,2,0.76484496,1,7.964049216,1.5,16,1,0,55.31409723,190,2.194931993,7.40222391,0.574442968,1.792148813,2.60364596,GR
6M502,1338,2,0.33726342,2,7.596304507,2,11,17,0,53.5098629,198,2.069115148,8.825633487,0.497708714,2.505631924,3.378259171,GR
6M502,1338,2,0.59208242,2,3.469055859,1,11,0,0,61.93873399,175,2.060626839,7.37362555,0.520197682,1.395074639,2.656499356,GR
6M502,1338,2,0.22320649,2,9.346388765,2,20,6,0,33.79866899,211,2.117398816,8.763933945,0.593135389,4.943589207,3.323267565,GR
6M502,1338,2,1.06866387,2,6.753271057,1.5,12,6,0,57.72306018,197,2.331001998,8.471056682,0.532931816,1.875074189,3.070027344,GR
6M502,1338,2,0.59165928,2,4.479175631,2,19,18,0,44.49576606,174,1.870535243,6.556925692,0.351825305,2.487065343,2.343195225,GR
6M502,1338,2,0.79889653,2,3.556938988,1.5,16,1,0,56.85910729,203,2.067572771,8.00281991,0.570115701,1.904946415,2.967623572,GR
6M502,1338,2,0.47843864,2,6.730711276,2,16,13,0,50.38577169,192,1.984236872,9.072427042,0.421440367,2.943804388,3.544095086,GR
CML373,1341,2,0.66778,2,9.126477125,1.5,17,1,0,44.11433611,223,2.248326311,6.544203686,0.549126578,2.20863927,2.147938689,GR
CML373,1341,2,0.76087913,2,7.551065435,2,10,13,0,33.00079646,207,1.980062537,6.325510387,0.408317764,3.340308479,2.172723926,GR
CML373,1341,2,0.58362922,2,17.63318895,2.5,12,16,2,48.74660306,226,2.193988711,7.551681516,0.495387951,2.3498367,2.678846404,GR
CML373,1341,2,0.77545815,2,10.51717167,1.5,14,7,0,39.05763052,226,2.293858788,6.908319511,0.469139556,2.851566362,2.307230361,GR
CML373,1341,2,0.6497973,3,12.182265,2,19,2,0,31.27571101,229,2.102767938,6.654686515,0.404850893,3.728794502,2.275959289,GR
CML373,1341,2,0.86264297,2,12.59113362,2,13,20,0,34.68754897,247,2.436357921,7.551635699,0.498389326,3.693079365,2.557638889,GR
CML373,1341,2,0.51861079,3,12.8349562,2,12,18,0,38.70119545,230,2.270624521,8.738281688,0.445707941,4.019083081,3.233828584,GR
CML373,1341,2,0.59567911,3,10.88362888,2,15,16,0,32.97170468,226,2.118842587,7.872072658,0.498103787,4.444404837,2.876615035,GR
CML373,1341,2,0.89304195,3,11.34633969,3,12,17,11,36.9712388,220,2.116580217,8.522866475,0.349974301,4.807202649,3.203143131,GR
CML373,1341,2,0.77492622,2,16.76810239,2.5,15,19,1,35.749276,238,2.285018239,8.13139532,0.441122892,4.061144728,2.92318854,GR
Ki11,1344,2,0.80083608,1,17.76491421,1.5,23,1,0,41.09864325,224,2.100356612,5.658184531,0.390103464,2.036138365,1.778913961,GR
Ki11,1344,2,0.86552365,2,22.05528359,2,23,19,0,40.47803188,219,2.742539585,6.702652155,0.426812927,2.151414948,1.980056285,GR
Ki11,1344,2,0.73319206,2,20.65023212,1.5,16,9,0,32.29389235,214,2.658945901,6.21001601,0.522363366,2.763196687,1.775535054,GR
Ki11,1344,2,0.93754812,2,16.6968146,1.5,18,3,0,38.0430362,218,2.322763312,5.326286114,0.455106084,1.921200128,1.501761401,GR
Ki11,1344,2,0.72451843,2,24.43912876,2,16,14,0,18.75366612,201,2.814568755,5.993414046,0.260368009,4.720591328,1.589422647,GR
Ki11,1344,2,0.70940335,2,16.89615134,2,15,20,0,19.45456945,182,2.139432246,5.617078499,0.320025889,4.923242556,1.738823125,GR
Ki11,1344,2,0.90145243,2,17.89495834,1.5,17,7,0,37.3368424,202,2.672302771,7.939326966,0.351252749,3.398742646,2.633512099,GR
Ki11,1344,2,0.999416,2,20.13502365,1.5,21,7,0,34.92896101,199,3.411256114,9.0743394,0.515513196,4.031917194,2.831541643,GR
Hp301,1345,3,0.22879123,1,2.755711197,1,14,0,0,34.95121789,203,1.854786334,2.901831834,0.35118704,0.773646028,0.523522752,GR
Hp301,1345,3,0.13591827,2,5.824094509,1,17,0,0,47.17637633,193,1.764245628,3.999894875,0.419611303,1.113225353,1.117824625,GR
Hp301,1345,3,0.39117617,2,8.770078114,1,22,0,0,43.30685329,204,2.02310526,5.862693009,0.353272179,2.008548438,1.919793876,GR
