Accession,susceptibility_avg,susceptibility_avg_category2,PLOT.ID,PlantNumber,NumWhorls,cat
B104,0,low,S45,Plant8,1,GR
B104,0,low,S45,Plant6,1,GR
B104,0,low,S45,Plant10,1,GR
B104,0,low,S45,Plant3,1,GR
B104,0,low,S212,Plant15,1,GR
B104,0,low,S212,Plant16,1,GR
B104,0,low,S45,Plant5,1,GR
B104,0,low,S212,Plant17,2,GR
CML228,0,low,S64,Plant14,1,GR
CML228,0,low,S64,Plant5,1,GR
CML228,0,low,S64,Plant11,2,GR
CML228,0,low,S64,Plant4,1,GR
CML228,0,low,S60,Plant8,2,GR
CML228,0,low,S64,Plant1,2,GR
CML228,0,low,S64,Plant7,2,GR
CML228,0,low,S60,Plant5,2,GR
CML228,0,low,S64,Plant2,1,GR
CML228,0,low,S60,Plant3,1,GR
CML228,0,low,S60,Plant11,2,GR
CML228,0,low,S64,Plant13,2,GR
CML228,0,low,S60,Plant7,2,GR
CML228,0,low,S60,Plant4,2,GR
CML228,0,low,S64,Plant12,1,GR
CML228,0,low,S60,Plant1,1,GR
CML228,0,low,S60,Plant12,2,GR
CML228,0,low,S64,Plant9,2,GR
CML228,0,low,S60,Plant2,2,GR
CML228,0,low,S60,Plant10,1,GR
CML228,0,low,S64,Plant6,2,GR
CML228,0,low,S60,Plant6,2,GR
CML228,0,low,S64,Plant10,2,GR
CML228,0,low,S64,Plant8,1,GR
CML228,0,low,S60,Plant9,2,GR
CML228,0,low,S64,Plant3,1,GR
CML277,0,low,S215,Plant1,2,GR
CML277,0,low,S75,Plant3,1,GR
CML277,0,low,S75,Plant1,1,GR
CML277,0,low,S75,Plant6,2,GR
CML277,0,low,S75,Plant7,1,GR
CML277,0,low,S215,Plant3,2,GR
CML277,0,low,S75,Plant2,2,GR
CML277,0,low,S75,Plant4,2,GR
CML277,0,low,S75,Plant5,2,GR
CML277,0,low,S215,Plant4,2,GR
CML277,0,low,S75,Plant8,1,GR
CML277,0,low,S215,Plant2,2,GR
CML322,0,low,S170,Plant1,2,GR
CML322,0,low,S24,Plant2,2.5,GR
CML322,0,low,S170,Plant2,2,GR
CML322,0,low,S24,Plant1,2.5,GR
CML373,0,low,S221,Plant6,1,GR
CML373,0,low,S221,Plant12,1,GR
CML373,0,low,S167,Plant4,2,GR
CML373,0,low,S221,Plant15,1,GR
CML373,0,low,S221,Plant14,1,GR
CML373,0,low,S221,Plant11,1,GR
CML373,0,low,S167,Plant2,1,GR
CML373,0,low,S221,Plant9,1,GR
CML373,0,low,S167,Plant7,3,GR
CML373,0,low,S167,Plant5,1,GR
CML373,0,low,S221,Plant13,1,GR
CML373,0,low,S221,Plant8,1,GR
CML373,0,low,S167,Plant3,1,GR
CML373,0,low,S221,Plant10,1,GR
CML373,0,low,S221,Plant5,1,GR
CML373,0,low,S221,Plant4,1,GR
CML373,0,low,S221,Plant7,0,GR
CML373,0,low,S221,Plant3,2,GR
CML373,0,low,S221,Plant2,3,GR
CML373,0,low,S221,Plant1,1,GR
CML373,0,low,S167,Plant6,1,GR
CML373,0,low,S167,Plant1,1,GR
Hp301,0,low,S136,Plant5,1,GR
Hp301,0,low,S136,Plant4,1,GR
Hp301,0,low,S136,Plant11,2,GR
Hp301,0,low,S136,Plant2,1,GR
Hp301,0,low,S136,Plant6,1,GR
Hp301,0,low,S136,Plant13,2,GR
Hp301,0,low,S136,Plant1,1,GR
Hp301,0,low,S136,Plant14,2,GR
Hp301,0,low,S2,Plant3,3,GR
Hp301,0,low,S136,Plant9,1,GR
Hp301,0,low,S136,Plant12,2,GR
Hp301,0,low,S136,Plant10,1,GR
Hp301,0,low,S136,Plant8,1,GR
Hp301,0,low,S2,Plant1,2,GR
Hp301,0,low,S136,Plant7,1,GR
Hp301,0,low,S2,Plant2,3,GR
Hp301,0,low,S136,Plant3,1,GR
Ki11,0,low,S12,Plant7,2,GR
Ki11,0,low,S12,Plant4,2,GR
Ki11,0,low,S55,Plant4,2,GR
Ki11,0,low,S55,Plant1,1,GR
Ki11,0,low,S12,Plant9,2,GR
Ki11,0,low,S55,Plant6,2,GR
Ki11,0,low,S55,Plant5,2,GR
Ki11,0,low,S55,Plant2,2,GR
Ki11,0,low,S12,Plant5,2,GR
Ki11,0,low,S12,Plant1,2.5,GR
Ki11,0,low,S12,Plant3,2,GR
Ki11,0,low,S12,Plant6,1.5,GR
Ki11,0,low,S55,Plant3,2,GR
Ki11,0,low,S12,Plant2,3,GR
Ki11,0,low,S55,Plant8,2,GR
Ki11,0,low,S55,Plant7,1,GR
Ki11,0,low,S12,Plant8,1,GR
Ki3,0,low,S58,Plant2,2,GR
Ki3,0,low,S204,Plant2,1,GR
Ki3,0,low,S204,Plant1,2,GR
Ki3,0,low,S58,Plant1,1,GR
L163,0,low,S133,Plant4,1,GR
L163,0,low,S133,Plant1,1,GR
L163,0,low,S133,Plant5,1,GR
L163,0,low,S15,Plant4,2,GR
L163,0,low,S15,Plant2,3,GR
L163,0,low,S15,Plant5,2,GR
L163,0,low,S15,Plant8,2,GR
L163,0,low,S133,Plant2,1,GR
L163,0,low,S15,Plant3,2,GR
L163,0,low,S133,Plant3,1,GR
L163,0,low,S15,Plant1,3,GR
L163,0,low,S133,Plant7,2,GR
L163,0,low,S133,Plant8,1,GR
L163,0,low,S15,Plant6,2,GR
L163,0,low,S133,Plant6,1.5,GR
L163,0,low,S15,Plant7,2,GR
Mo17,0,low,S62,Plant6,2,GR
Mo17,0,low,S172,Plant1,1,GR
Mo17,0,low,S62,Plant9,1,GR
Mo17,0,low,S62,Plant3,1,GR
Mo17,0,low,S172,Plant3,2,GR
Mo17,0,low,S62,Plant8,2,GR
Mo17,0,low,S172,Plant2,1,GR
Mo17,0,low,S62,Plant11,2,GR
Mo17,0,low,S172,Plant4,1,GR
Mo17,0,low,S62,Plant4,2,GR
Mo17,0,low,S62,Plant10,3,GR
Mo17,0,low,S62,Plant7,2,GR
Mo17,0,low,S62,Plant1,2,GR
Mo17,0,low,S62,Plant2,2,GR
Mo17,0,low,S62,Plant5,3,GR
Ms71,0,low,S74,Plant1,2,GR
Ms71,0,low,S1,Plant1,3,GR
Ms71,0,low,S74,Plant4,1,GR
Ms71,0,low,S74,Plant5,1,GR
Ms71,0,low,S1,Plant3,2,GR
Ms71,0,low,S1,Plant9,2,GR
Ms71,0,low,S74,Plant2,2,GR
Ms71,0,low,S1,Plant6,1,GR
Ms71,0,low,S1,Plant10,2,GR
Ms71,0,low,S1,Plant2,2,GR
Ms71,0,low,S1,Plant5,2,GR
Ms71,0,low,S1,Plant8,2,GR
Ms71,0,low,S1,Plant4,2,GR
Ms71,0,low,S1,Plant7,2,GR
Ms71,0,low,S74,Plant3,2,GR
Ms71,0,low,S74,Plant6,1,GR
PHHB4,0,low,S26,Plant1,2,GR
PHHB4,0,low,S61,Plant4,2,GR
PHHB4,0,low,S26,Plant2,2,GR
PHHB4,0,low,S61,Plant1,1,GR
PHHB4,0,low,S61,Plant2,1,GR
PHHB4,0,low,S26,Plant3,2,GR
PHHB4,0,low,S26,Plant4,1,GR
PHHB4,0,low,S61,Plant3,1,GR
PHHB4,0,low,S26,Plant5,1,GR
PHHB4,0,low,S61,Plant5,2,GR
PHK46,0,low,S207,Plant2,2,GR
PHK46,0,low,S139,Plant2,1,GR
PHK46,0,low,S139,Plant1,1,GR
PHK46,0,low,S139,Plant5,2,GR
PHK46,0,low,S207,Plant1,1,GR
PHK46,0,low,S139,Plant3,2,GR
PHK46,0,low,S207,Plant3,2,GR
