,Plot,Genotype,Experiment,Total.Plants,Number.Lodged,Percent.Lodging,Lodging.Index,Lodged,Lodged2
1,35,2369,55 and friends,18,6,33.33333333,1,Y,1
2,35,2369,55 and friends,18,6,33.33333333,1,Y,1
3,35,2369,55 and friends,18,6,33.33333333,1,Y,1
4,35,2369,55 and friends,18,6,33.33333333,1,Y,1
5,35,2369,55 and friends,18,6,33.33333333,1,Y,1
6,35,2369,55 and friends,18,6,33.33333333,1,Y,1
19,67,2369,55 and friends,16,2,12.5,1,Y,1
20,67,2369,55 and friends,16,2,12.5,2,Y,1
139,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
140,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
141,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
142,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
143,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
144,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
145,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
146,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
147,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
148,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
149,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
175,42,B97,55 and friends,11,10,90.90909091,1,Y,1
176,42,B97,55 and friends,11,10,90.90909091,1,Y,1
177,42,B97,55 and friends,11,10,90.90909091,1,Y,1
178,42,B97,55 and friends,11,10,90.90909091,1,Y,1
179,42,B97,55 and friends,11,10,90.90909091,1,Y,1
180,42,B97,55 and friends,11,10,90.90909091,1,Y,1
181,42,B97,55 and friends,11,10,90.90909091,1,Y,1
182,42,B97,55 and friends,11,10,90.90909091,1,Y,1
183,42,B97,55 and friends,11,10,90.90909091,1,Y,1
184,42,B97,55 and friends,11,10,90.90909091,1,Y,1
186,135,B97,55 and friends,8,1,12.5,4,Y,1
211,44,CML10,55 and friends,14,14,100,2,Y,1
212,44,CML10,55 and friends,14,14,100,2,Y,1
213,44,CML10,55 and friends,14,14,100,2,Y,1
214,44,CML10,55 and friends,14,14,100,2,Y,1
215,44,CML10,55 and friends,14,14,100,2,Y,1
216,44,CML10,55 and friends,14,14,100,2,Y,1
217,44,CML10,55 and friends,14,14,100,2,Y,1
218,44,CML10,55 and friends,14,14,100,2,Y,1
219,44,CML10,55 and friends,14,14,100,2,Y,1
220,44,CML10,55 and friends,14,14,100,2,Y,1
221,44,CML10,55 and friends,14,14,100,2,Y,1
222,44,CML10,55 and friends,14,14,100,2,Y,1
223,44,CML10,55 and friends,14,14,100,2,Y,1
224,44,CML10,55 and friends,14,14,100,2,Y,1
225,51,CML10,55 and friends,15,15,100,1,Y,1
226,51,CML10,55 and friends,15,15,100,1,Y,1
227,51,CML10,55 and friends,15,15,100,1,Y,1
228,51,CML10,55 and friends,15,15,100,1,Y,1
229,51,CML10,55 and friends,15,15,100,1,Y,1
230,51,CML10,55 and friends,15,15,100,1,Y,1
231,51,CML10,55 and friends,15,15,100,1,Y,1
232,51,CML10,55 and friends,15,15,100,1,Y,1
233,51,CML10,55 and friends,15,15,100,1,Y,1
234,51,CML10,55 and friends,15,15,100,1,Y,1
235,51,CML10,55 and friends,15,15,100,1,Y,1
236,51,CML10,55 and friends,15,15,100,1,Y,1
237,51,CML10,55 and friends,15,15,100,1,Y,1
238,51,CML10,55 and friends,15,15,100,1,Y,1
239,51,CML10,55 and friends,15,15,100,1,Y,1
240,32,CML103,55 and friends,5,2,40,0.5,Y,1
241,32,CML103,55 and friends,5,2,40,0.5,Y,1
245,206,CML103,55 and friends,6,5,83.33333333,2,Y,1
246,206,CML103,55 and friends,6,5,83.33333333,2,Y,1
247,206,CML103,55 and friends,6,5,83.33333333,2,Y,1
248,206,CML103,55 and friends,6,5,83.33333333,2,Y,1
249,206,CML103,55 and friends,6,5,83.33333333,1,Y,1
284,49,CML247,55 and friends,12,4,33.33333333,3,Y,1
285,49,CML247,55 and friends,12,4,33.33333333,1,Y,1
286,49,CML247,55 and friends,12,4,33.33333333,1,Y,1
287,49,CML247,55 and friends,12,4,33.33333333,1,Y,1
296,222,CML247,55 and friends,12,12,100,2.5,Y,1
297,222,CML247,55 and friends,12,12,100,2.5,Y,1
298,222,CML247,55 and friends,12,12,100,2.5,Y,1
299,222,CML247,55 and friends,12,12,100,2.5,Y,1
300,222,CML247,55 and friends,12,12,100,2.5,Y,1
301,222,CML247,55 and friends,12,12,100,2.5,Y,1
302,222,CML247,55 and friends,12,12,100,2.5,Y,1
303,222,CML247,55 and friends,12,12,100,2.5,Y,1
304,222,CML247,55 and friends,12,12,100,2.5,Y,1
305,222,CML247,55 and friends,12,12,100,2.5,Y,1
306,222,CML247,55 and friends,12,12,100,2.5,Y,1
307,222,CML247,55 and friends,12,12,100,2.5,Y,1
322,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
323,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
324,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
325,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
326,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
327,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
328,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
329,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
330,105,CML258,55 and friends,15,10,66.66666667,1,Y,1
331,105,CML258,55 and friends,15,10,66.66666667,1,Y,1
372,205,CML333,55 and friends,5,2,40,1,Y,1
373,205,CML333,55 and friends,5,2,40,1,Y,1
377,216,CML333,55 and friends,4,4,100,1,Y,1
378,216,CML333,55 and friends,4,4,100,1,Y,1
379,216,CML333,55 and friends,4,4,100,1,Y,1
380,216,CML333,55 and friends,4,4,100,1,Y,1
381,36,CML341,55 and friends,17,3,17.64705882,1,Y,1
382,36,CML341,55 and friends,17,3,17.64705882,1,Y,1
383,36,CML341,55 and friends,17,3,17.64705882,1,Y,1
398,41,CML341,55 and friends,14,7,50,1,Y,1
399,41,CML341,55 and friends,14,7,50,1,Y,1
400,41,CML341,55 and friends,14,7,50,1,Y,1
401,41,CML341,55 and friends,14,7,50,1,Y,1
402,41,CML341,55 and friends,14,7,50,1,Y,1
403,41,CML341,55 and friends,14,7,50,1,Y,1
404,41,CML341,55 and friends,14,7,50,1,Y,1
441,48,CML52,55 and friends,15,15,100,3,Y,1
442,48,CML52,55 and friends,15,15,100,3,Y,1
443,48,CML52,55 and friends,15,15,100,3,Y,1
444,48,CML52,55 and friends,15,15,100,3,Y,1
445,48,CML52,55 and friends,15,15,100,3,Y,1
446,48,CML52,55 and friends,15,15,100,3,Y,1
447,48,CML52,55 and friends,15,15,100,3,Y,1
448,48,CML52,55 and friends,15,15,100,3,Y,1
449,48,CML52,55 and friends,15,15,100,3,Y,1
450,48,CML52,55 and friends,15,15,100,3,Y,1
451,48,CML52,55 and friends,15,15,100,3,Y,1
452,48,CML52,55 and friends,15,15,100,3,Y,1
453,48,CML52,55 and friends,15,15,100,3,Y,1
454,48,CML52,55 and friends,15,15,100,3,Y,1
455,48,CML52,55 and friends,15,15,100,3,Y,1
456,165,CML52,55 and friends,16,16,100,3,Y,1
457,165,CML52,55 and friends,16,16,100,3,Y,1
458,165,CML52,55 and friends,16,16,100,3,Y,1
