,Year,Accession,Plot.ID,PLOT_ID2,PLOT_ID3,Flexural.Rigidity..EI....IMU,cat
1,2019,PHR58,1260,3,1,11.05450448,GR
2,2019,PHR58,1260,3,1,8.937553002,GR
3,2019,PHR58,1260,3,1,6.438808785,GR
4,2019,PHR58,1260,3,1,12.34031171,GR
5,2019,PHR58,1260,3,1,7.291930455,GR
6,2019,PHR58,1260,3,1,7.947685619,GR
7,2019,PHR58,1260,3,1,9.224854613,GR
8,2019,PHR58,1260,3,1,3.818228111,GR
9,2019,PHR58,1260,3,1,7.693085066,GR
10,2019,PHR58,1260,3,1,13.21727925,GR
11,2019,PHR58,1260,3,1,9.570498292,GR
12,2019,B104,1262,3,1,24.8364682,GR
13,2019,B104,1262,3,1,22.03764575,GR
14,2019,B104,1262,3,1,21.59704994,GR
15,2019,B104,1262,3,1,22.26757558,GR
16,2019,B104,1262,3,1,14.20821231,GR
17,2019,B104,1262,3,1,13.809352,GR
18,2019,B104,1262,3,1,9.858467933,GR
19,2019,B104,1262,3,1,11.83757291,GR
20,2019,B104,1262,3,1,8.536720478,GR
21,2019,B104,1262,3,1,9.165327565,GR
22,2019,B104,1262,3,1,8.864911065,GR
23,2019,B104,1262,3,1,10.69128579,GR
24,2019,B104,1262,3,1,6.779199955,GR
25,2019,B104,1262,3,1,10.91568901,GR
26,2019,B104,1262,3,1,19.20844239,GR
27,2019,B104,1262,3,1,21.65245477,GR
28,2019,CML277,1264,3,1,14.97628165,GR
29,2019,CML277,1264,3,1,16.43890877,GR
30,2019,CML277,1264,3,1,11.71114059,GR
31,2019,CML277,1264,3,1,13.14281322,GR
32,2019,CML277,1264,3,1,11.39174172,GR
33,2019,CML277,1264,3,1,14.79767805,GR
34,2019,CML277,1264,3,1,14.09646024,GR
35,2019,CML277,1264,3,1,15.55352606,GR
36,2019,CML277,1264,3,1,6.839786493,GR
37,2019,CML277,1264,3,1,16.56890572,GR
38,2019,CML228,1266,2,1,18.52587779,GR
39,2019,CML228,1266,2,1,20.53724194,GR
40,2019,CML228,1266,2,1,7.765568389,GR
41,2019,CML228,1266,2,1,17.17444307,GR
42,2019,CML228,1266,2,1,15.18892255,GR
43,2019,CML228,1266,2,1,14.41906627,GR
44,2019,CML228,1266,2,1,16.72494012,GR
45,2019,CML228,1266,2,1,11.28097723,GR
46,2019,CML228,1266,2,1,7.469044343,GR
47,2019,CML228,1266,2,1,20.68762836,GR
48,2019,CML228,1266,2,1,19.73151544,GR
49,2019,CML228,1266,2,1,18.8462936,GR
50,2019,CML228,1266,2,1,22.65912792,GR
51,2019,Mo17,1268,3,1,5.259490318,GR
52,2019,Mo17,1268,3,1,5.150308172,GR
53,2019,Mo17,1268,3,1,6.050157726,GR
54,2019,CML322,1269,3,1,8.744025806,GR
55,2019,PHK46,1277,3,1,12.19258151,GR
56,2019,PHK46,1277,3,1,5.935180432,GR
57,2019,PHK46,1277,3,1,12.59152203,GR
58,2019,PHK46,1277,3,1,14.42291952,GR
59,2019,PHK46,1277,3,1,11.37961494,GR
60,2019,PHK46,1277,3,1,9.309919642,GR
61,2019,PHK46,1277,3,1,6.718839805,GR
62,2019,PHK46,1277,3,1,4.154012284,GR
63,2019,PHK46,1277,3,1,10.22105442,GR
64,2019,PHK46,1277,3,1,6.053467128,GR
65,2019,PHK46,1277,3,1,9.112744362,GR
66,2019,PHK46,1277,3,1,11.23881294,GR
67,2019,PHK46,1277,3,1,8.42484074,GR
68,2019,Hp301,1278,3,1,3.77221712,GR
69,2019,Hp301,1278,3,1,4.395588282,GR
70,2019,Hp301,1278,3,1,3.984723533,GR
71,2019,Hp301,1278,3,1,6.213619871,GR
72,2019,Hp301,1278,3,1,3.504533764,GR
73,2019,Hp301,1278,3,1,4.738079444,GR
74,2019,Hp301,1278,3,1,4.851782473,GR
75,2019,Hp301,1278,3,1,4.180563329,GR
76,2019,Hp301,1278,3,1,4.172954582,GR
77,2019,Hp301,1278,3,1,5.013484182,GR
78,2019,A632,1282,3,1,7.993244377,GR
79,2019,A632,1282,3,1,9.870229635,GR
80,2019,A632,1282,3,1,7.842211605,GR
81,2019,A632,1282,3,1,6.563193946,GR
82,2019,A632,1282,3,1,3.422176106,GR
83,2019,A632,1282,3,1,2.548039427,GR
84,2019,A632,1282,3,1,7.728053389,GR
85,2019,A632,1282,3,1,10.46431601,GR
86,2019,Ms71,1283,3,1,8.676001728,GR
87,2019,Ms71,1283,3,1,10.92307884,GR
88,2019,Ms71,1283,3,1,10.48862759,GR
89,2019,Ms71,1283,3,1,6.439206999,GR
90,2019,Ms71,1283,3,1,8.667219117,GR
91,2019,Ms71,1283,3,1,13.23282072,GR
92,2019,Ms71,1283,3,1,3.138774386,GR
93,2019,Ms71,1283,3,1,9.600901054,GR
94,2019,Ki3,1289,3,1,14.35647091,GR
95,2019,Ki3,1289,3,1,15.62376318,GR
96,2019,Ki3,1289,3,1,21.73935708,GR
97,2019,Ki3,1289,3,1,15.76654838,GR
