Group,ModelNumber,Predictor,LevelOfImportance,Outcome
Even,Model4,root_angle,5,Paired Ratio
Even,Model4,brace_root_whorls_in_the_soil,6,Paired Ratio
Even,Model4,spread_width_cm,7,Paired Ratio
Even,Model4,stalk_to_rootgrounding_cm,8,Paired Ratio
Even,Model4,root_heightonstalk_cm,9,Paired Ratio
Even,Model4,stalk_width_cm,10,Paired Ratio
Even,Model4,single_root_width_cm,11,Paired Ratio
Odd,Model5,w3,1,Susceptibility
Odd,Model5,num_whorls,2,Susceptibility
Odd,Model5,brace_root_whorls_in_the_soil,3,Susceptibility
Odd,Model5,w2,4,Susceptibility
Odd,Model5,spread_width_cm,5,Susceptibility
Odd,Model5,w1,6,Susceptibility
Odd,Model5,root_angle,7,Susceptibility
Odd,Model5,root_heightonstalk_cm,8,Susceptibility
Odd,Model5,stalk_to_rootgrounding_cm,9,Susceptibility
Odd,Model5,single_root_width_cm,10,Susceptibility
Odd,Model5,stalk_width_cm,11,Susceptibility
Odd,Model5,height_cm,12,Susceptibility
Even,Model6,w3,1,Susceptibility
Even,Model6,num_whorls,2,Susceptibility
Even,Model6,brace_root_whorls_in_the_soil,3,Susceptibility
Even,Model6,w2,4,Susceptibility
Even,Model6,spread_width_cm,5,Susceptibility
Even,Model6,w1,6,Susceptibility
Even,Model6,stalk_to_rootgrounding_cm,7,Susceptibility
Even,Model6,single_root_width_cm,8,Susceptibility
Even,Model6,root_heightonstalk_cm,9,Susceptibility
Even,Model6,root_angle,10,Susceptibility
Even,Model6,stalk_width_cm,11,Susceptibility
Odd,Model7,w3,1,Susceptibility
Odd,Model7,num_whorls,2,Susceptibility
Odd,Model7,w2,3,Susceptibility
Odd,Model7,spread_width_cm,4,Susceptibility
Odd,Model7,root_angle,5,Susceptibility
Odd,Model7,stalk_to_rootgrounding_cm,6,Susceptibility
Odd,Model7,root_heightonstalk_cm,7,Susceptibility
Odd,Model7,w1,8,Susceptibility
Odd,Model7,ratio_none_all_imu,9,Susceptibility
Odd,Model7,single_root_width_cm,10,Susceptibility
Odd,Model7,brace_root_whorls_in_the_soil,11,Susceptibility
Odd,Model7,flexural_rigidity_ei_imu,12,Susceptibility
Odd,Model7,stalk_width_cm,13,Susceptibility
Odd,Model7,height_cm,14,Susceptibility
Even,Model8,w3,1,Susceptibility
Even,Model8,num_whorls,2,Susceptibility
