plantid,stalk_width,leftmost_single_root_width,num_whorls,w1,w2,w3,w4,root_heightonstalk_left,stalk_to_leftmost_rootgrounding,root_angledeg_left,root_heightonstalk_right,stalk_to_rightmost_rootgrounding,root_angledeg_right,spread_width
1259_01A,1.0160893353067366,0.2029917017278366,2,7.0,10.0,0.0,0.0,2.3198576488783194,1.7211847072323014,36.573030978519334,2.028836080022616,1.4966823541150447,36.41637851988605,4.233956396654083
1259_01B,1.041167309905884,0.2340967567201571,2,8.0,9.0,0.0,0.0,2.513711151736746,1.7011984562258786,34.08887161571662,2.513711151736746,2.2344099126548853,41.6335393365702,4.976775678786648
1259_02A,0.971842857142857,0.24244285714285713,2,6.0,8.0,0.0,0.0,2.242857142857143,1.857142857142857,39.625622627675625,2.2714285714285714,1.6714285714285715,36.34745820888528,4.500414285714285
1259_02B,0.98465625,0.230703125,2,7.0,8.0,0.0,0.0,2.59375,1.8046875,34.82954526173656,2.421875,1.3984375,30.00296864827841,4.1877812500000005
1259_03A,1.0963180157661987,0.23410882522591808,2,7.0,9.0,0.0,0.0,2.6052682176504516,1.9515477792732165,36.83605489755708,2.557200538358008,1.778504133820419,34.818177658908624,4.826369928859835
1259_03B,1.020325396825397,0.15873015873015872,2,8.0,10.0,0.0,0.0,2.6587301587301586,2.373015873015873,41.75010170112575,2.611111111111111,2.119047619047619,39.06106222151549,5.512388888888889
1259_04A,0.8415283018867924,0.15700943396226416,2,7.0,7.0,0.0,0.0,1.7452830188679245,1.4622641509433962,39.957548930829084,1.6132075471698113,1.160377358490566,35.72739822279969,3.4641698113207546
1259_04B,0.778284710619886,0.1417198589155921,2,7.0,8.0,0.0,0.0,1.3137414499707265,1.1209641719858916,40.47282898693269,1.249482357309115,1.1066843736166445,41.531770741082845,3.0059332562224217
1259_05A,1.0472169811320753,0.1910188679245283,2,9.0,7.0,0.0,0.0,2.981132075471698,1.820754716981132,31.414895078860805,2.849056603773585,1.5660377358490565,28.796225785109236,4.434009433962263
1259_05B,1.025404946007199,0.1509048793494201,3,3.0,8.0,2.0,0.0,3.516197840287962,1.733102253032929,26.238272707876682,3.266231169177443,1.8080922543660847,28.967660646064033,4.566599453406212
1259_06A,1.1224248268606996,0.1924607697028141,2,3.0,10.0,0.0,0.0,2.0864381520119224,2.3231349171561324,48.07257022405037,2.0689050582975366,1.9374068554396424,43.120069455660555,5.382966599456474
1259_06B,1.1186509624096297,0.19654974761015476,2,4.0,10.0,0.0,0.0,2.394467762513174,2.246546974095372,43.17445769267014,2.1725865798864707,1.7195791653569512,38.36123993257397,5.0847771018619525
1259_07A,0.9088066030592155,0.1774269271543238,2,7.0,7.0,0.0,0.0,1.8097834317734363,1.2115704982583673,33.80057033884978,1.8476450098440103,1.3402998636983188,35.95750051789692,3.4606769650159013
1259_07B,0.9451812691143249,0.20987720727228018,2,9.0,5.0,0.0,0.0,2.143878037160553,1.7212497502651032,38.75984443269039,1.9671425717315465,1.3985154220903964,35.41044829085176,4.064946441469825
1259_08A,1.2607158066248216,0.22295358181043898,2,3.0,8.0,0.0,0.0,1.7959969634690514,2.082986168971838,49.231357807466274,1.7126775167101778,1.5738117721120553,42.58049078334366,4.917513747708715
1259_08B,1.267042615461489,0.17710935826968377,3,4.0,10.0,1.0,0.0,1.8470269112713256,2.266400171318438,50.82132136890326,1.695338710828753,2.4983938896423727,55.84030545433057,6.0318366764223
1259_09A,1.1322701170580873,0.17677427666936613,2,7.0,13.0,0.0,0.0,2.466318191857469,2.1258190385040123,40.75937579373595,2.346683354192741,1.6748877273061917,35.51641776344618,4.932976882868291
1259_09B,1.0247508523472333,0.15912667191188043,2,8.0,10.0,0.0,0.0,2.737345921846315,1.827629163388408,33.72963642819264,2.6553894571203775,2.343954891161815,41.435361027884326,5.196334906897457
1259_10A,0.9987736295310009,0.15298095621857424,2,8.0,6.0,0.0,0.0,2.189947266069833,1.6205609768916764,36.50144112050632,2.076070008234202,1.5855218206345592,37.36944577461723,4.204856427057236
1259_10B,0.9926959056399133,0.20406555043383948,2,7.0,12.0,0.0,0.0,2.2878253796095445,1.7709463123644253,37.74252511091082,2.126830260303688,1.6014777657266812,36.97931020447161,4.36511998373102
1259_11A,0.8100624219725342,0.18272159800249685,2,6.0,9.0,0.0,0.0,1.9142738243861837,1.140241364960466,30.78023448348717,1.7811069496462753,1.2068248023304202,34.12039254233571,3.15712858926342
