Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right
1418_1A,          36.125,                10,          ,          ,          ,          18.974,           67.602,          288.0,          289.0,         290.0,         193.0
1433_1B,          46.011,                5,          ,          ,          ,          19.647,           93.0,          441.0,          264.0,         403.0,         157.0
1430_1A,          37.0,                8,          ,          ,          ,          21.213,           65.031,          239.0,          159.0,         256.0,         154.0
1429_1A,          35.014,                4,          ,          ,          ,          25.08,           68.118,          170.0,          191.0,         145.0,         140.0
1429_1B,          41.0,                5,          ,          ,          ,          20.1,           80.156,          177.0,          114.0,         180.0,         161.0
1431_1B,          36.0,                6,          ,          ,          ,          16.763,           74.545,          489.0,          257.0,         436.0,         181.0
1418_1B,          34.059,                9,          ,          ,          ,          17.493,           71.007,          305.0,          231.0,         276.0,         206.0
1430_1B,          45.1,                9,          ,          ,          ,          13.601,           70.114,          262.0,          188.0,         271.0,         161.0
1433_1A,          40.05,                6,          ,          ,          ,          22.023,           86.052,          449.0,          249.0,         447.0,         201.0
1431_1A,          37.054,                7,          ,          ,          ,          17.263,           75.06,          449.0,          140.0,         452.0,         226.0
1429_2B,          44.283,                7,          ,          ,          ,          22.561,           68.066,          96.0,          132.0,         94.0,         83.0
1431_2B,          39.319,                11,          ,          ,          ,          13.454,           62.032,          498.0,          211.0,         460.0,         167.0
1418_2A,          36.125,                8,          ,          ,          ,          18.974,           64.07,          268.0,          217.0,         259.0,         221.0
1433_2B,          40.0,                7,          ,          ,          ,          19.313,           53.235,          188.0,          142.0,         172.0,         160.0
1430_2A,          43.29,                9,          ,          ,          ,          21.633,           56.0,          274.0,          137.0,         283.0,         119.0
1418_2B,          35.057,                6,          ,          ,          ,          21.954,           71.253,          320.0,          231.0,         330.0,         240.0
1433_2A,          40.012,                4,          ,          ,          ,          22.136,           60.208,          162.0,          166.0,         157.0,         169.0
1430_2B,          45.177,                7,          ,          ,          ,          19.105,           73.11,          263.0,          133.0,         256.0,         89.0
1429_2A,          37.054,                7,          ,          ,          ,          27.295,           73.246,          109.0,          114.0,         107.0,         114.0
1431_2A,          46.011,                5,          ,          ,          ,          16.031,           69.116,          486.0,          201.0,         502.0,         177.0
1431_3B,          52.24,                4,          ,          ,          ,          16.155,           65.276,          352.0,          138.0,         338.0,         160.0
1430_3B,          46.39,                9,          ,          ,          ,          19.925,           73.062,          298.0,          203.0,         277.0,         125.0
1433_3A,          37.054,                4,          ,          ,          ,          18.358,           70.029,          481.0,          180.0,         511.0,         129.0
1429_3B,          41.049,                7,          ,          ,          ,          23.259,           72.007,          114.0,          107.0,         151.0,         135.0
1430_3A,          43.932,                8,          ,          ,          ,          28.443,           71.028,          289.0,          191.0,         277.0,         129.0
1418_3B,          31.257,                7,          ,          ,          ,          17.0,           60.033,          160.0,          142.0,         169.0,         182.0
1429_3A,          40.0,                6,          ,          ,          ,          19.235,           70.029,          118.0,          98.0,         107.0,         148.0
1431_3A,          40.05,                8,          ,          ,          ,          20.0,           67.476,          334.0,          166.0,         330.0,         148.0
1418_3A,          32.388,                7,          ,          ,          ,          17.088,           60.638,          155.0,          132.0,         181.0,         169.0
1433_3B,          45.177,                3,          ,          ,          ,          30.414,           86.052,          541.0,          103.0,         529.0,         240.0
1430_4A,          38.013,                6,          ,          ,          ,          19.026,           77.782,          186.0,          184.0,         219.0,         151.0
1431_4B,          42.012,                5,          ,          ,          ,          19.925,           70.257,          213.0,          165.0,         221.0,         135.0
1431_4A,          52.086,                6,          ,          ,          ,          16.401,           77.0,          403.0,          169.0,         398.0,         164.0
1418_4B,          39.459,                4,          ,          ,          ,          18.868,           65.031,          228.0,          143.0,         198.0,         139.0
1429_4A,          47.043,                4,          ,          ,          ,          22.023,           68.469,          154.0,          123.0,         136.0,         145.0
1430_4B,          46.098,                8,          ,          ,          ,          26.87,           71.253,          166.0,          147.0,         220.0,         182.0
1433_4A,          43.186,                4,          ,          ,          ,          25.239,           69.065,          456.0,          156.0,         485.0,         151.0
1433_4B,          39.0,                4,          ,          ,          ,          29.411,           61.66,          468.0,          164.0,         440.0,         145.0
1418_4A,          32.0,                7,          ,          ,          ,          21.471,           64.63,          185.0,          151.0,         185.0,         109.0
1429_4B,          46.39,                5,          ,          ,          ,          21.26,           67.119,          150.0,          148.0,         165.0,         168.0
1429_5B,          36.497,                4,          ,          ,          ,          22.136,           65.031,          140.0,          142.0,         141.0,         133.0
1431_5B,          44.011,                7,          ,          ,          ,          16.492,           57.219,          345.0,          156.0,         314.0,         141.0
1433_5A,          42.107,                8,          ,          ,          ,          17.464,           58.138,          236.0,          93.0,         240.0,         105.0
1430_5B,          40.112,                8,          ,          ,          ,          27.295,           71.0,          257.0,          144.0,         269.0,         117.0
1429_5A,          43.105,                7,          ,          ,          ,          24.042,           73.335,          160.0,          145.0,         163.0,         112.0
1418_5A,          30.0,                5,          ,          ,          ,          24.187,           46.53,          341.0,          135.0,         348.0,         163.0
1430_5A,          44.721,                7,          ,          ,          ,          18.028,           74.33,          238.0,          181.0,         254.0,         154.0
1418_5B,          33.242,                5,          ,          ,          ,          15.811,           49.82,          326.0,          127.0,         315.0,         160.0
1431_5A,          46.0,                6,          ,          ,          ,          22.804,           66.272,          383.0,          169.0,         389.0,         160.0
1433_5B,          44.011,                5,          ,          ,          ,          16.125,           64.846,          68.0,          87.0,         64.0,         81.0
1433_6A,          43.0,                5,          ,          ,          ,          23.259,           74.243,          579.0,          166.0,         258.0,         164.0
1429_6B,          43.0,                5,          ,          ,          ,          24.0,           68.184,          163.0,          129.0,         182.0,         184.0
1418_6A,          39.319,                7,          ,          ,          ,          21.587,           58.31,          145.0,          131.0,         140.0,         134.0
1430_6B,          40.012,                4,          ,          ,          ,          19.105,           72.0,          102.0,          80.0,         110.0,         103.0
1429_6A,          37.014,                3,          ,          ,          ,          37.855,           59.034,          159.0,          174.0,         156.0,         145.0
1433_6B,          50.04,                7,          ,          ,          ,          26.401,           71.344,          261.0,          199.0,         224.0,         158.0
1431_6A,          44.181,                8,          ,          ,          ,          14.866,           71.253,          291.0,          153.0,         264.0,         168.0
1431_6B,          38.053,                6,          ,          ,          ,          16.643,           58.138,          240.0,          103.0,         253.0,         147.0
1430_6A,          43.186,                9,          ,          ,          ,          25.554,           79.057,          116.0,          104.0,         99.0,         92.0
1418_6B,          32.016,                5,          ,          ,          ,          17.464,           45.044,          128.0,          114.0,         129.0,         124.0
1431_7A,          38.328,                4,          ,          ,          ,          14.318,           65.62,          177.0,          143.0,         193.0,         172.0
1431_7B,          43.105,                6,          ,          ,          ,          27.166,           70.178,          205.0,          128.0,         205.0,         168.0
1429_7B,          44.0,                5,          ,          ,          ,          13.416,           52.038,          107.0,          111.0,         123.0,         122.0
1430_7B,          46.011,                7,          ,          ,          ,          31.953,           84.095,          204.0,          167.0,         215.0,         241.0
1430_7A,          40.2,                8,          ,          ,          ,          27.785,           84.024,          235.0,          199.0,         234.0,         176.0
1418_7B,          35.014,                5,          ,          ,          ,          24.166,           61.074,          176.0,          178.0,         152.0,         194.0
1433_7A,          38.118,                5,          ,          ,          ,          20.518,           70.257,          146.0,          149.0,         196.0,         202.0
1429_7A,          34.525,                5,          ,          ,          ,          16.125,           46.174,          95.0,          89.0,         107.0,         111.0
1418_7A,          35.511,                6,          ,          ,          ,          17.889,           62.129,          150.0,          157.0,         190.0,         175.0
1433_7B,          44.045,                4,          ,          ,          ,          28.178,           63.506,          154.0,          190.0,         177.0,         206.0
1430_8A,          53.085,                4,          ,          ,          ,          31.89,           80.056,          197.0,          209.0,         200.0,         215.0
1433_8B,          42.048,                7,          ,          ,          ,          27.459,           61.074,          3.0,          60.0,         3.0,         66.0
1429_8A,          44.181,                4,          ,          ,          ,          23.77,           46.53,          156.0,          197.0,         139.0,         208.0
1429_8B,          46.098,                5,          ,          ,          ,          16.971,           61.074,          166.0,          177.0,         182.0,         172.0
1418_8B,          32.249,                5,          ,          ,          ,          27.731,           65.192,          191.0,          144.0,         212.0,         185.0
1433_8A,          43.186,                7,          ,          ,          ,          21.587,           72.25,          270.0,          100.0,         259.0,         154.0
1431_8B,          37.336,                8,          ,          ,          ,          15.264,           60.075,          102.0,          128.0,         111.0,         134.0
1431_8A,          40.112,                7,          ,          ,          ,          16.279,           67.007,          144.0,          115.0,         144.0,         142.0
1430_8B,          44.102,                6,          ,          ,          ,          14.036,           77.524,          161.0,          180.0,         193.0,         185.0
1431_9A,          40.0,                5,          ,          ,          ,          20.396,           64.63,          328.0,          176.0,         353.0,         154.0
1429_9B,          46.098,                5,          ,          ,          ,          19.235,           64.07,          127.0,          148.0,         126.0,         189.0
1418_9A,          34.015,                4,          ,          ,          ,          16.0,           74.243,          153.0,          121.0,         175.0,         207.0
1433_9B,          33.061,                4,          ,          ,          ,          20.248,           65.069,          240.0,          127.0,         236.0,         212.0
1431_9B,          40.05,                7,          ,          ,          ,          17.464,           59.682,          369.0,          135.0,         371.0,         203.0
