Plant ID,  Pixels/Label Height,  W1 roots,  W2 roots,  W3 roots,  W4 roots,    Left root Width,  Stalk Width,  Root Height Left,  Root Len Left,  Root ht Right,    Root Len Right
1434_1B,24.021,3,10,          ,          ,12.083,56.009,120,157,123,176
1417_1B,35.057,4,10,          ,          ,9.22,70.576,141,167,148,236
1434_1A,21.024,3,11,          ,          ,10.817,49.163,107,143,112,133
1416_1A,44,6,11,14,          ,13,99.005,412,294,420,374
1417_1A,29.017,2,11,2,          ,15,70,338,195,335,247
1416_1B,33,3,14,12,          ,13,67.186,264,243,269,260
1415_1A,49.092,3,8,          ,          ,18.439,89.443,159,226,175,222
1431_1B,37.054,8,10,          ,          ,20.248,71.568,253,180,254,222
1431_1A,41.049,8,11,          ,          ,17,67.067,222,174,237,241
1415_1B,40.012,4,8,          ,          ,21.471,74.061,119,126,111,120
1416_2A,57.079,12,          ,          ,          ,23.324,117.017,131,216,120,212
1431_2B,51.088,11,10,          ,          ,21.024,79.228,305,260,301,245
1415_2A,55.145,10,          ,          ,          ,29.682,91.444,169,166,172,189
1434_2B,37,7,9,          ,          ,19.416,67.082,225,171,223,209
1417_2A,26.173,7,13,          ,          ,17.029,59.414,219,148,223,215
1434_2A,45,10,12,          ,          ,19.723,76.059,270,199,268,212
1417_2B,31.016,6,10,          ,          ,19.799,71.197,268,236,288,194
1415_2B,43.105,2,11,          ,          ,19.849,73.11,122,125,135,145
1431_2A,41.012,7,12,          ,          ,19.105,74.061,268,216,261,226
1416_2B,46.098,7,          ,          ,          ,18.385,91.351,108,200,113,205
1416_3B,31.145,6,10,          ,          ,7.616,95.258,235,290,243,158
1417_3B,29.428,5,          ,          ,          ,9.849,54.083,61,75,55,106
1431_3B,42.107,5,8,          ,          ,21.633,74.027,160,202,173,194
1434_3A,43.046,8,3,          ,          ,24.083,88.091,342,186,340,192
1415_3B,43.29,4,8,          ,          ,18.358,62.65,125,165,133,236
1416_3A,55,8,6,          ,          ,19.849,111.018,255,149,262,286
1431_3A,50.01,4,9,          ,          ,19.849,94.048,205,170,196,209
1415_3A,50.01,3,9,          ,          ,22.825,79.025,151,252,143,216
1434_3B,37.054,3,9,          ,          ,9.487,77.058,155,171,163,199
1434_4A,34.015,8,          ,          ,          ,15.811,57,88,127,93,192
1415_4B,38.21,7,9,          ,          ,17.117,80.306,136,142,144,189
1415_4A,51.039,6,8,          ,          ,21.26,102.313,167,149,160,194
1431_4B,48.042,6,8,          ,          ,21.095,82.055,222,198,228,185
1431_4A,50.09,6,10,          ,          ,20.518,85.024,216,173,215,222
1416_4A,52.01,4,6,          ,          ,19.235,98.412,194,119,200,166
1417_4A,46.098,9,          ,          ,          ,17.692,86,154,162,144,220
1416_4B,44,7,8,          ,          ,12.042,85,216,148,210,125
1417_4B,53.085,3,14,          ,          ,17.205,102.044,151,185,162,166
1434_4B,37,8,          ,          ,          ,10.817,64.07,94,148,105,140
1416_5A,49,11,          ,          ,          ,23.324,89.454,90,231,84,222
1431_5B,40,4,10,          ,          ,17.493,67.268,209,178,213,192
1415_5A,40.05,4,8,          ,          ,11.402,69.26,129,154,126,214
1416_5B,40.012,12,          ,          ,          ,17.029,84.054,92,236,100,231
1434_5A,42.19,8,          ,          ,          ,17.493,54.037,90,112,102,147
1415_5B,45.044,4,9,          ,          ,13.892,72.443,161,197,154,180
1417_5B,55.036,10,          ,          ,          ,19.209,90.006,150,151,163,136
1434_5B,40.2,11,          ,          ,          ,15.297,62.201,115,104,114,143
1417_5A,43.046,7,          ,          ,          ,21.024,76.059,134,132,123,142
1431_5A,49,6,10,          ,          ,20.881,77.233,227,239,226,224
1417_6A,45,7,          ,          ,          ,16.971,82.024,114,91,123,78
1415_6B,43.012,4,9,          ,          ,15.811,82.006,128,151,123,230
1417_6B,50,6,          ,          ,          ,12.369,94.048,136,99,123,151
1434_6B,50.04,8,8,          ,          ,21.541,89.022,186,241,175,166
1434_6A,42,7,10,          ,          ,14.213,72.339,197,152,200,237
1431_6B,47,7,9,          ,          ,17.493,77.233,317,181,314,217
