----------META DATA----------
SOFTWARE VERSION,1.0.10
DEVICE OPERATOR,LE
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2019
MONTH,9
DAY,23
TIME,14:20:46,UTC
PLOT,2,#
HEIGHT,64,cm
TEMPERATURE,34.7,C
HUMIDITY,42.7,%
LATITUDE,39.6695,angular degrees
LONGITUDE,-75.7522,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,A
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGHT,0,g
----------SENSOR CALIBRATION DATA (stored_value*A + B = raw_data)------
SENSOR,A,B,UNIT,ID
LOAD_X,121.78003191790857,92.12012601542638,N,647101
LOAD_Y,-4240.447957832657,16831.831357048744,NEWTON,SENS.713585
IMU,0.9075757575757575,28.472727272727266,Deg,imu1
POT,-101.57070707070709,10978.909090909088,Deg,pot1
TEMP,1.0,0.0,C,temp1
HUM,1.0,0.0,%,hum1
----------TEST DATA-----------
TIME,ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
0.0,6.05400029834,1.82604340568,9.07275073412,3.97100295169
112.0,6.51673213664,2.45409015025,9.47511554901,3.97100295169
135.0,6.81209288449,2.46510851419,9.54901929052,3.97100295169
165.0,7.26497936453,2.49816360601,9.77073051505,3.97100295169
194.0,7.38312366367,2.54223706177,10.1156146421,3.97100295169
223.0,7.46188652976,2.59732888147,10.419441135,3.97123877583
252.0,7.53080403759,2.67445742905,10.616517779,3.97100295169
281.0,7.68832976978,2.74056761269,11.0763632817,3.97123877583
310.0,7.72771120282,2.46510851419,11.3801897746,3.97123877583
339.0,7.89508229327,2.46510851419,11.9303620725,3.97100295169
369.0,7.98369051763,2.29983305509,12.4723228436,3.97123877583
397.0,8.02307195067,2.22270450751,13.047129722,3.97100295169
427.0,8.14121624981,2.35492487479,13.6465711809,3.97123877583
456.0,8.26920590721,2.55325542571,14.3609740155,3.97100295169
486.0,8.45626771419,2.63038397329,14.9439924208,3.97123877583
514.0,8.56456665506,2.75158597663,15.6748183091,3.97100295169
543.0,8.70240167073,2.93889816361,16.4056441973,3.97100295169
573.0,8.83039132813,3.14824707846,17.1364700856,3.97100295169
601.0,8.94853562727,3.30250417362,17.7851807055,3.97123877583
631.0,9.11590671772,3.4898163606,18.4010452181,3.97123877583
660.0,9.23405101686,3.72120200334,18.9922751502,3.97123877583
689.0,9.34234995773,3.99666110184,19.5999281359,3.97100295169
718.0,9.46049425687,4.27212020033,20.1336773802,3.97123877583
747.0,9.45064889861,4.55859766277,20.5442537219,3.97100295169
776.0,9.67709213863,4.87813021703,20.9301954831,3.97123877583
805.0,9.75585500472,5.12053422371,21.2504450297,3.97123877583
834.0,9.81492715429,5.3959933222,21.5214254152,3.97123877583
862.0,9.97245288648,5.64941569282,21.7020790056,3.97100295169
891.0,9.92322609517,5.85876460768,21.7349251129,3.97123877583
920.0,9.95276216996,6.06811352254,21.6445983177,3.97100295169
947.0,9.91338073691,6.32153589316,21.5706945762,3.97123877583
976.0,9.89369002039,6.55292153589,21.3736179322,3.97123877583
1005.0,9.81492715429,6.75125208681,21.0533683857,3.97100295169
1033.0,9.49003033166,6.81736227045,20.5360421951,3.97100295169
1063.0,8.75162846204,6.81736227045,20.0597736387,3.97100295169
1092.0,8.6827109542,6.79532554257,19.6327742433,3.97100295169
1121.0,8.36765948983,6.76227045075,18.9347944624,3.97100295169
1150.0,8.19044304112,6.66310517529,18.2039685741,3.97123877583
1179.0,8.02307195067,6.51986644407,17.5224118468,3.97123877583
1208.0,7.95415444284,6.34357262104,16.8408551196,3.97100295169
1237.0,7.82616478544,6.167278798,15.9704332751,3.97100295169
1267.0,7.56034011238,6.0020033389,15.132857538,3.97123877583
1296.0,7.36343294714,5.85876460768,14.4266662302,3.97123877583
1325.0,7.12714434886,5.7265442404,13.6547827078,3.97100295169
1354.0,6.96961861668,5.49515859766,12.7104571218,3.97147459998
1384.0,6.83178360101,5.16460767947,11.905727492,3.97100295169
1412.0,6.64472179404,4.81202003339,11.1913246574,3.97123877583
1441.0,6.53642285316,4.51452420701,10.567248618,3.97123877583
1471.0,6.34936104619,4.25008347245,9.93496105174,3.97123877583
